Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense
Tennessee Titans,324.0,5245.0,994.0,5.3,40.0,24.0,300.0,312.0,557.0,3695.0,26.0,16.0,6.0,193.0,383.0,1550.0,8.0,4.0,81.0,128.0,1010.0,26.0,24.9,18.3
Oakland Raiders,329.0,4880.0,981.0,5.0,33.0,13.0,266.0,302.0,539.0,3321.0,22.0,20.0,5.7,161.0,398.0,1559.0,10.0,3.9,85.0,114.0,861.0,20.0,29.3,16.2
Indianapolis Colts,333.0,5221.0,1008.0,5.2,23.0,13.0,304.0,328.0,561.0,3506.0,21.0,10.0,5.8,192.0,406.0,1715.0,12.0,4.2,92.0,130.0,1093.0,20.0,31.7,11.3
Minnesota Vikings,335.0,5597.0,1065.0,5.3,30.0,18.0,320.0,373.0,606.0,3980.0,20.0,12.0,6.1,213.0,413.0,1617.0,9.0,3.9,83.0,108.0,880.0,24.0,31.4,15.1
Miami Dolphins,336.0,4404.0,936.0,4.7,28.0,10.0,252.0,256.0,484.0,2928.0,19.0,18.0,5.6,145.0,413.0,1476.0,6.0,3.6,79.0,80.0,708.0,28.0,28.7,12.8
Chicago Bears,341.0,5704.0,1058.0,5.4,33.0,19.0,310.0,354.0,583.0,3822.0,23.0,14.0,6.2,196.0,438.0,1882.0,11.0,4.3,89.0,89.0,720.0,25.0,29.5,14.0
Green Bay Packers,341.0,5309.0,1040.0,5.1,41.0,15.0,304.0,304.0,538.0,3505.0,20.0,26.0,6.2,177.0,472.0,1804.0,16.0,3.8,103.0,99.0,993.0,24.0,30.1,18.4
Philadelphia Eagles,357.0,5462.0,1124.0,4.9,46.0,18.0,328.0,322.0,568.0,3461.0,22.0,28.0,5.7,171.0,519.0,2001.0,12.0,3.9,125.0,89.0,719.0,32.0,31.8,20.5
New York Giants,358.0,4981.0,990.0,5.0,24.0,7.0,270.0,295.0,511.0,3421.0,20.0,17.0,6.3,170.0,447.0,1560.0,13.0,3.5,81.0,92.0,750.0,19.0,29.7,12.5
Washington Redskins,377.0,5705.0,1068.0,5.3,37.0,13.0,322.0,328.0,589.0,3732.0,23.0,24.0,5.9,193.0,439.0,1973.0,16.0,4.5,107.0,102.0,1137.0,22.0,32.5,18.3
Atlanta Falcons,380.0,5223.0,995.0,5.2,18.0,6.0,293.0,274.0,468.0,3151.0,20.0,12.0,6.2,149.0,487.0,2072.0,18.0,4.3,111.0,126.0,980.0,33.0,34.6,9.7
Carolina Panthers,381.0,5503.0,1042.0,5.3,29.0,14.0,331.0,327.0,557.0,3605.0,26.0,15.0,6.1,189.0,450.0,1898.0,13.0,4.2,115.0,109.0,877.0,27.0,31.5,12.5
Arizona Cardinals,382.0,5422.0,1068.0,5.1,27.0,10.0,301.0,294.0,493.0,3157.0,25.0,17.0,6.0,157.0,542.0,2265.0,17.0,4.2,128.0,112.0,938.0,16.0,28.4,12.3
New Orleans Saints,434.0,5318.0,966.0,5.5,34.0,15.0,297.0,291.0,489.0,3544.0,34.0,19.0,6.6,170.0,432.0,1774.0,15.0,4.1,105.0,124.0,1006.0,22.0,32.8,16.2
Cleveland Browns,437.0,6046.0,1158.0,5.2,20.0,12.0,368.0,331.0,523.0,3310.0,17.0,8.0,6.0,187.0,610.0,2736.0,29.0,4.5,161.0,88.0,776.0,20.0,42.0,9.6
San Francisco 49ers,453.0,5687.0,979.0,5.8,20.0,7.0,315.0,317.0,521.0,4068.0,36.0,13.0,7.4,192.0,426.0,1619.0,11.0,3.8,91.0,96.0,760.0,32.0,39.8,9.7
Cincinnati Bengals,460.0,5497.0,1011.0,5.4,27.0,15.0,316.0,312.0,522.0,3798.0,28.0,12.0,6.8,189.0,454.0,1699.0,22.0,3.7,99.0,105.0,835.0,28.0,40.3,12.2
Avg Team,333.0,5100.3,1018.0,5.0,30.7,12.6,290.0,308.6,540.6,3396.4,21.5,18.1,5.8,172.4,437.0,1703.8,11.7,3.9,93.3,105.22580645161291,873.6774193548387,24.3,29.24516129032257,14.509677419354839
