Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense
Green Bay Packers,300.0,4923.0,1024.0,4.8,42.0,24.0,296.0,279.0,469.0,3003.0,14.0,18.0,6.0,152.0,521.0,1920.0,15.0,3.7,118.0,104.0,852.0,26.0,0.0,0.0
Buffalo Bills,305.0,4906.0,1022.0,4.8,31.0,14.0,297.0,249.0,447.0,2854.0,25.0,17.0,5.9,162.0,541.0,2052.0,11.0,3.8,114.0,103.0,840.0,21.0,0.0,0.0
New York Giants,312.0,4658.0,1056.0,4.4,34.0,14.0,275.0,292.0,508.0,2890.0,17.0,20.0,5.1,148.0,493.0,1768.0,14.0,3.6,97.0,97.0,802.0,30.0,0.0,0.0
Seattle Seahawks,314.0,5159.0,954.0,5.4,38.0,21.0,297.0,255.0,445.0,2958.0,20.0,17.0,6.1,148.0,472.0,2201.0,14.0,4.7,133.0,104.0,890.0,16.0,0.0,0.0
San Diego Chargers,317.0,4953.0,1008.0,4.9,28.0,15.0,280.0,227.0,441.0,2782.0,19.0,13.0,5.7,136.0,522.0,2171.0,14.0,4.2,120.0,107.0,869.0,24.0,0.0,0.0
Minnesota Vikings,335.0,4824.0,979.0,4.9,37.0,11.0,281.0,278.0,498.0,3100.0,24.0,26.0,5.8,159.0,440.0,1724.0,9.0,3.9,95.0,107.0,964.0,27.0,0.0,0.0
Miami Dolphins,335.0,5445.0,1013.0,5.4,32.0,16.0,314.0,295.0,494.0,3247.0,21.0,16.0,6.3,176.0,498.0,2198.0,18.0,4.4,115.0,103.0,850.0,23.0,0.0,0.0
Dallas Cowboys,348.0,5061.0,1012.0,5.0,43.0,20.0,294.0,269.0,502.0,3444.0,21.0,23.0,6.2,175.0,459.0,1617.0,19.0,3.5,85.0,100.0,851.0,34.0,0.0,0.0
Houston Oilers,349.0,4993.0,976.0,5.1,37.0,14.0,287.0,266.0,495.0,3145.0,25.0,23.0,5.9,153.0,446.0,1848.0,10.0,4.1,98.0,101.0,874.0,36.0,0.0,0.0
Tampa Bay Buccaneers,360.0,4987.0,996.0,5.0,36.0,20.0,314.0,271.0,457.0,2949.0,23.0,16.0,5.9,163.0,500.0,2038.0,18.0,4.1,124.0,125.0,926.0,27.0,0.0,0.0
New York Jets,360.0,5041.0,993.0,5.1,29.0,11.0,300.0,260.0,488.0,3206.0,27.0,18.0,6.2,153.0,476.0,1835.0,15.0,3.9,117.0,96.0,881.0,30.0,0.0,0.0
Los Angeles Rams,361.0,5121.0,961.0,5.3,27.0,11.0,279.0,281.0,504.0,3389.0,31.0,16.0,6.3,162.0,419.0,1732.0,8.0,4.1,95.0,100.0,888.0,22.0,0.0,0.0
St. Louis Cardinals,368.0,5384.0,1023.0,5.3,33.0,19.0,306.0,276.0,490.0,3383.0,30.0,14.0,6.4,168.0,492.0,2001.0,16.0,4.1,116.0,88.0,718.0,22.0,0.0,0.0
Cincinnati Bengals,370.0,4697.0,937.0,5.0,26.0,12.0,286.0,267.0,456.0,3056.0,24.0,14.0,6.2,169.0,441.0,1641.0,15.0,3.7,99.0,79.0,669.0,18.0,0.0,0.0
Philadelphia Eagles,380.0,5249.0,1046.0,5.0,48.0,27.0,301.0,305.0,561.0,3606.0,29.0,21.0,5.8,186.0,428.0,1643.0,16.0,3.8,85.0,105.0,830.0,30.0,0.0,0.0
Detroit Lions,384.0,5273.0,1005.0,5.2,32.0,13.0,314.0,259.0,459.0,3203.0,23.0,19.0,6.4,162.0,504.0,2070.0,18.0,4.1,122.0,115.0,907.0,30.0,0.0,0.0
Kansas City Chiefs,388.0,5639.0,1045.0,5.4,28.0,17.0,344.0,279.0,484.0,3306.0,25.0,11.0,6.5,172.0,535.0,2333.0,16.0,4.4,139.0,112.0,936.0,33.0,0.0,0.0
Atlanta Falcons,436.0,5907.0,1070.0,5.5,27.0,12.0,354.0,243.0,453.0,3173.0,26.0,15.0,6.8,164.0,600.0,2734.0,24.0,4.6,162.0,92.0,729.0,28.0,0.0,0.0
Avg Team,324.0,4917.5,992.4,5.0,35.5,16.2,291.0,264.1,481.8,3058.8,21.8,19.3,5.9,158.5,471.0,1858.7,12.9,3.9,106.5,100.71428571428572,831.4642857142858,26.1,0.0,0.0
