Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense
Arizona Cardinals,348.0,5682.0,1095.0,5.2,19.0,9.0,333.0,340.0,578.0,3696.0,17.0,10.0,6.0,174.0,475.0,1986.0,15.0,4.2,118.0,122.0,950.0,41.0,32.8,9.3,-0.21
Atlanta Falcons,350.0,5338.0,965.0,5.5,29.0,10.0,292.0,340.0,560.0,3786.0,25.0,19.0,6.4,186.0,372.0,1552.0,10.0,4.2,87.0,101.0,843.0,19.0,32.2,15.0,-18.44
Green Bay Packers,359.0,6585.0,1049.0,6.3,38.0,7.0,358.0,390.0,637.0,4796.0,29.0,31.0,7.2,246.0,383.0,1789.0,10.0,4.7,96.0,122.0,948.0,16.0,33.9,20.2,-64.58
New York Jets,363.0,4993.0,993.0,5.0,31.0,12.0,272.0,275.0,507.0,3216.0,15.0,19.0,5.9,167.0,451.0,1777.0,17.0,3.9,83.0,110.0,966.0,22.0,29.3,13.9,89.9
Washington Redskins,367.0,5437.0,988.0,5.5,21.0,8.0,295.0,308.0,509.0,3553.0,22.0,13.0,6.5,180.0,438.0,1884.0,15.0,4.3,95.0,123.0,1006.0,20.0,37.4,10.5,-24.19
San Diego Chargers,377.0,5546.0,958.0,5.8,21.0,4.0,311.0,299.0,478.0,3591.0,29.0,17.0,7.0,186.0,448.0,1955.0,8.0,4.4,102.0,92.0,760.0,23.0,36.5,12.4,-75.29
Detroit Lions,387.0,5881.0,1055.0,5.6,34.0,13.0,325.0,376.0,604.0,3831.0,26.0,21.0,5.9,195.0,410.0,2050.0,10.0,5.0,91.0,119.0,982.0,39.0,32.4,16.2,-12.71
Denver Broncos,390.0,5725.0,1063.0,5.4,18.0,9.0,315.0,333.0,534.0,3704.0,24.0,9.0,6.4,182.0,488.0,2021.0,11.0,4.1,101.0,99.0,845.0,32.0,33.0,7.8,-47.98
New York Giants,400.0,6022.0,1072.0,5.6,31.0,11.0,338.0,361.0,589.0,4082.0,28.0,20.0,6.4,210.0,435.0,1940.0,15.0,4.5,103.0,110.0,933.0,25.0,34.7,14.8,-60.46
St. Louis Rams,407.0,5734.0,1033.0,5.6,18.0,6.0,313.0,293.0,484.0,3301.0,21.0,12.0,6.3,166.0,510.0,2433.0,17.0,4.8,122.0,111.0,951.0,25.0,35.9,8.9,-51.0
Carolina Panthers,429.0,6042.0,972.0,6.2,24.0,10.0,329.0,318.0,490.0,3949.0,28.0,14.0,7.6,191.0,451.0,2093.0,18.0,4.6,110.0,98.0,901.0,28.0,42.7,12.9,-127.3
Indianapolis Colts,430.0,5935.0,1062.0,5.6,17.0,9.0,343.0,351.0,493.0,3632.0,25.0,8.0,7.0,193.0,540.0,2303.0,19.0,4.3,136.0,84.0,804.0,14.0,39.2,9.1,-89.35
Oakland Raiders,433.0,6201.0,1070.0,5.8,26.0,8.0,369.0,324.0,601.0,4023.0,31.0,18.0,6.3,206.0,430.0,2178.0,15.0,5.1,105.0,120.0,982.0,58.0,35.6,12.8,-101.71
Buffalo Bills,434.0,5938.0,1003.0,5.9,31.0,11.0,340.0,321.0,507.0,3714.0,30.0,20.0,6.9,196.0,467.0,2224.0,19.0,4.8,120.0,85.0,871.0,24.0,37.0,15.3,-87.55
Minnesota Vikings,449.0,5731.0,1027.0,5.6,23.0,15.0,332.0,367.0,538.0,4019.0,34.0,8.0,6.8,213.0,439.0,1712.0,10.0,3.9,92.0,97.0,834.0,27.0,41.1,10.8,-81.04
Tampa Bay Buccaneers,494.0,6311.0,1002.0,6.3,24.0,10.0,356.0,301.0,481.0,3814.0,30.0,14.0,7.6,188.0,498.0,2497.0,26.0,5.0,135.0,95.0,786.0,33.0,42.9,13.0,-160.0
Avg Team,354.9,5549.3,1017.8,5.5,25.3,9.5,311.3,327.0,544.1,3675.0,23.3,15.8,6.3,187.2,436.6,1874.3,12.5,4.3,96.7,102.75,867.25,27.3,32.896875,12.771875,-15.74125
