Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense
New England Patriots,286.0,4796.0,1013.0,4.7,22.0,9.0,269.0,280.0,474.0,2845.0,20.0,13.0,5.6,161.0,505.0,1951.0,9.0,3.9,97.0,111.0,803.0,11.0,0.0,0.0
San Diego Chargers,290.0,5066.0,1002.0,5.1,34.0,12.0,299.0,329.0,556.0,3752.0,17.0,22.0,6.4,192.0,414.0,1314.0,10.0,3.2,86.0,94.0,724.0,21.0,0.0,0.0
Minnesota Vikings,290.0,4406.0,938.0,4.7,34.0,10.0,259.0,310.0,478.0,2870.0,11.0,24.0,5.5,139.0,415.0,1536.0,14.0,3.7,98.0,97.0,768.0,22.0,0.0,0.0
Kansas City Chiefs,291.0,4771.0,1013.0,4.7,38.0,17.0,300.0,312.0,525.0,3151.0,18.0,21.0,5.6,161.0,453.0,1620.0,11.0,3.6,103.0,127.0,1015.0,36.0,0.0,0.0
Detroit Lions,292.0,4669.0,990.0,4.7,35.0,16.0,279.0,309.0,514.0,3020.0,19.0,19.0,5.4,154.0,433.0,1649.0,12.0,3.8,108.0,73.0,500.0,17.0,0.0,0.0
San Francisco 49ers,295.0,4997.0,1012.0,4.9,30.0,11.0,297.0,314.0,564.0,3197.0,23.0,19.0,5.3,171.0,404.0,1800.0,6.0,4.5,109.0,99.0,743.0,17.0,0.0,0.0
Cleveland Browns,307.0,4778.0,1040.0,4.6,22.0,9.0,290.0,306.0,541.0,3124.0,19.0,13.0,5.3,170.0,451.0,1654.0,9.0,3.7,94.0,105.0,821.0,26.0,0.0,0.0
Seattle Seahawks,314.0,5313.0,1085.0,4.9,37.0,15.0,322.0,333.0,595.0,3653.0,16.0,22.0,5.8,193.0,452.0,1660.0,12.0,3.7,106.0,109.0,818.0,23.0,0.0,0.0
Philadelphia Eagles,315.0,5019.0,966.0,5.2,35.0,15.0,271.0,251.0,463.0,2939.0,22.0,20.0,5.9,155.0,467.0,2080.0,11.0,4.5,91.0,85.0,610.0,25.0,0.0,0.0
Cincinnati Bengals,319.0,5018.0,1000.0,5.0,26.0,14.0,306.0,251.0,457.0,2798.0,20.0,12.0,5.8,159.0,521.0,2220.0,15.0,4.3,134.0,73.0,567.0,13.0,0.0,0.0
Los Angeles Raiders,326.0,4723.0,996.0,4.7,23.0,9.0,302.0,258.0,457.0,2858.0,17.0,14.0,5.7,154.0,494.0,1865.0,17.0,3.8,111.0,105.0,801.0,37.0,0.0,0.0
New Orleans Saints,343.0,4696.0,1008.0,4.7,30.0,20.0,273.0,259.0,444.0,2606.0,22.0,10.0,5.3,145.0,513.0,2090.0,7.0,4.1,116.0,86.0,590.0,12.0,0.0,0.0
Washington Redskins,345.0,5499.0,1027.0,5.4,31.0,14.0,304.0,291.0,483.0,3387.0,24.0,17.0,6.6,157.0,513.0,2112.0,14.0,4.1,127.0,100.0,782.0,20.0,0.0,0.0
Miami Dolphins,351.0,5150.0,1061.0,4.9,27.0,14.0,332.0,350.0,572.0,3485.0,26.0,13.0,5.8,205.0,460.0,1665.0,12.0,3.6,103.0,92.0,650.0,24.0,0.0,0.0
Los Angeles Rams,367.0,5411.0,1003.0,5.4,20.0,9.0,304.0,299.0,488.0,3560.0,17.0,11.0,6.8,179.0,480.0,1851.0,18.0,3.9,117.0,80.0,542.0,8.0,0.0,0.0
Tampa Bay Buccaneers,376.0,5246.0,1011.0,5.2,22.0,13.0,280.0,300.0,503.0,3252.0,22.0,9.0,6.1,152.0,479.0,1994.0,15.0,4.2,109.0,126.0,913.0,19.0,0.0,0.0
Indianapolis Colts,378.0,5638.0,1050.0,5.4,21.0,11.0,334.0,270.0,454.0,3117.0,22.0,10.0,6.6,166.0,575.0,2521.0,20.0,4.4,151.0,87.0,610.0,17.0,0.0,0.0
Atlanta Falcons,385.0,5421.0,951.0,5.7,24.0,11.0,278.0,308.0,505.0,3637.0,27.0,13.0,6.8,180.0,419.0,1784.0,14.0,4.3,79.0,100.0,874.0,19.0,0.0,0.0
Avg Team,299.2,4970.3,1005.5,4.9,30.4,13.7,290.2,298.3,514.8,3209.8,18.5,16.8,5.8,167.7,453.0,1760.5,10.9,3.9,102.4,96.35714285714286,736.8928571428571,20.0,0.0,0.0
