Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense
Baltimore Ravens,354.0,5353.0,1077.0,5.0,31.0,6.0,316.0,360.0,573.0,3591.0,16.0,25.0,5.9,190.0,471.0,1762.0,17.0,3.7,95.0,104.0,874.0,31.0,32.5,15.7,28.14
Houston Texans,356.0,5230.0,1056.0,5.0,21.0,11.0,291.0,281.0,512.0,3141.0,23.0,10.0,5.7,155.0,509.0,2089.0,14.0,4.1,116.0,102.0,955.0,20.0,29.0,8.6,36.85
Washington Redskins,365.0,4787.0,1006.0,4.8,26.0,12.0,281.0,304.0,531.0,3033.0,19.0,14.0,5.3,155.0,435.0,1754.0,14.0,4.0,96.0,119.0,972.0,30.0,33.3,13.0,66.59
San Diego Chargers,367.0,6034.0,1056.0,5.7,27.0,10.0,326.0,375.0,607.0,4295.0,26.0,17.0,6.6,205.0,410.0,1739.0,15.0,4.2,91.0,103.0,854.0,30.0,31.6,13.8,-35.47
St. Louis Rams,369.0,5025.0,944.0,5.3,26.0,14.0,282.0,292.0,461.0,3209.0,15.0,12.0,6.4,148.0,445.0,1816.0,15.0,4.1,105.0,99.0,755.0,29.0,30.9,14.4,21.59
Seattle Seahawks,369.0,5852.0,1083.0,5.4,30.0,11.0,356.0,321.0,555.0,3411.0,21.0,19.0,5.9,191.0,500.0,2441.0,18.0,4.9,140.0,99.0,816.0,25.0,34.5,15.8,-63.07
Chicago Bears,379.0,5606.0,1086.0,5.2,28.0,19.0,328.0,335.0,547.0,3530.0,24.0,9.0,6.1,185.0,504.0,2076.0,13.0,4.1,110.0,115.0,935.0,33.0,36.6,13.4,-2.94
New Orleans Saints,388.0,5796.0,1071.0,5.4,38.0,18.0,327.0,343.0,593.0,3805.0,25.0,20.0,6.0,191.0,439.0,1991.0,18.0,4.5,108.0,110.0,953.0,28.0,33.7,18.4,-12.54
Buffalo Bills,397.0,5189.0,999.0,5.2,19.0,9.0,303.0,281.0,495.0,3067.0,24.0,10.0,5.8,160.0,473.0,2122.0,20.0,4.5,107.0,117.0,1053.0,36.0,33.5,10.1,-27.36
Kansas City Chiefs,399.0,6248.0,1081.0,5.8,31.0,13.0,367.0,403.0,616.0,4181.0,27.0,18.0,6.4,227.0,431.0,2067.0,19.0,4.8,120.0,100.0,827.0,20.0,39.6,16.5,-102.31
Arizona Cardinals,417.0,6020.0,1046.0,5.8,25.0,8.0,335.0,335.0,535.0,3874.0,29.0,17.0,7.0,196.0,490.0,2146.0,17.0,4.4,117.0,111.0,969.0,22.0,36.4,12.3,-88.67
Minnesota Vikings,442.0,5769.0,963.0,6.0,23.0,7.0,315.0,335.0,542.0,4103.0,33.0,16.0,7.2,198.0,394.0,1666.0,15.0,4.2,83.0,100.0,824.0,34.0,36.9,12.3,-87.24
Detroit Lions,451.0,6117.0,1119.0,5.5,24.0,14.0,360.0,371.0,591.0,4150.0,27.0,10.0,6.7,221.0,495.0,1967.0,19.0,4.0,111.0,114.0,981.0,28.0,37.1,11.4,-77.49
Cincinnati Bengals,456.0,5265.0,976.0,5.4,20.0,11.0,315.0,287.0,454.0,3262.0,30.0,9.0,6.8,182.0,498.0,2003.0,16.0,4.0,104.0,101.0,867.0,29.0,38.5,10.6,-60.43
Avg Team,346.8,5253.8,1017.8,5.2,29.0,12.5,304.0,322.3,540.4,3395.7,21.7,16.5,5.9,175.9,440.7,1858.1,14.4,4.2,102.0,104.0,863.90625,26.0,31.475,14.39375,13.913125
