Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense
New York Giants,344.0,6134.0,1016.0,6.0,35.0,14.0,317.0,341.0,534.0,4068.0,26.0,21.0,7.2,196.0,449.0,2066.0,9.0,4.6,104.0,102.0,900.0,17.0,35.4,17.1,-46.92
St. Louis Rams,348.0,5482.0,1041.0,5.3,21.0,4.0,327.0,362.0,547.0,3602.0,16.0,17.0,6.0,197.0,442.0,1880.0,18.0,4.3,107.0,90.0,758.0,23.0,34.6,10.8,-1.27
Minnesota Vikings,348.0,5600.0,1083.0,5.2,22.0,12.0,345.0,391.0,612.0,3908.0,28.0,10.0,6.0,229.0,427.0,1692.0,10.0,4.0,82.0,111.0,949.0,34.0,33.7,11.8,-52.32
San Diego Chargers,350.0,5223.0,1012.0,5.2,28.0,14.0,316.0,347.0,568.0,3681.0,28.0,14.0,6.1,201.0,406.0,1542.0,10.0,3.8,85.0,102.0,798.0,30.0,31.3,13.7,7.02
Arizona Cardinals,357.0,5405.0,1041.0,5.2,33.0,11.0,288.0,270.0,497.0,3213.0,20.0,22.0,6.0,160.0,506.0,2192.0,12.0,4.3,107.0,100.0,810.0,21.0,27.0,14.2,73.31
Carolina Panthers,363.0,5329.0,1010.0,5.3,23.0,12.0,326.0,371.0,555.0,3568.0,22.0,11.0,6.0,196.0,416.0,1761.0,11.0,4.2,98.0,86.0,711.0,32.0,38.6,11.9,-38.02
Cleveland Browns,368.0,5821.0,1095.0,5.3,29.0,12.0,345.0,378.0,600.0,3923.0,27.0,17.0,6.1,203.0,457.0,1898.0,14.0,4.2,104.0,120.0,1008.0,38.0,30.7,14.6,-33.76
New York Jets,375.0,5174.0,1019.0,5.1,23.0,12.0,293.0,266.0,494.0,3036.0,20.0,11.0,5.8,161.0,495.0,2138.0,17.0,4.3,96.0,109.0,805.0,36.0,30.6,11.4,8.59
Indianapolis Colts,387.0,5988.0,995.0,6.0,15.0,3.0,325.0,334.0,535.0,3788.0,23.0,12.0,6.7,190.0,428.0,2200.0,14.0,5.1,102.0,128.0,1208.0,33.0,38.3,8.3,-111.63
Washington Redskins,388.0,6043.0,1031.0,5.9,31.0,10.0,340.0,393.0,636.0,4511.0,31.0,21.0,6.8,223.0,363.0,1532.0,11.0,4.2,89.0,100.0,811.0,28.0,38.3,16.9,-72.09
Tampa Bay Buccaneers,394.0,6078.0,1031.0,5.9,26.0,8.0,329.0,410.0,627.0,4758.0,30.0,18.0,7.3,226.0,377.0,1320.0,13.0,3.5,75.0,103.0,851.0,28.0,32.8,12.5,-58.96
Dallas Cowboys,400.0,5687.0,986.0,5.8,16.0,9.0,317.0,320.0,511.0,3684.0,22.0,7.0,6.8,195.0,441.0,2003.0,17.0,4.5,92.0,89.0,726.0,30.0,38.9,8.0,-94.29
Kansas City Chiefs,425.0,5704.0,973.0,5.9,13.0,6.0,301.0,279.0,464.0,3533.0,29.0,7.0,7.2,176.0,482.0,2171.0,11.0,4.5,106.0,81.0,670.0,19.0,40.4,6.2,-112.39
Buffalo Bills,435.0,5806.0,1042.0,5.6,21.0,9.0,349.0,306.0,536.0,3473.0,25.0,12.0,6.1,182.0,470.0,2333.0,23.0,5.0,136.0,80.0,693.0,31.0,37.1,10.8,-101.64
Detroit Lions,437.0,5458.0,998.0,5.5,17.0,6.0,305.0,346.0,544.0,3569.0,26.0,11.0,6.2,167.0,420.0,1889.0,13.0,4.5,107.0,93.0,789.0,31.0,36.8,8.4,-78.91
Oakland Raiders,443.0,5672.0,995.0,5.7,19.0,8.0,304.0,347.0,526.0,3775.0,28.0,11.0,6.9,180.0,444.0,1897.0,18.0,4.3,95.0,101.0,925.0,29.0,41.2,9.1,-98.96
Jacksonville Jaguars,444.0,6088.0,1100.0,5.5,23.0,11.0,364.0,341.0,535.0,3832.0,21.0,12.0,6.9,194.0,545.0,2256.0,19.0,4.1,133.0,101.0,820.0,37.0,39.8,11.0,-117.47
Philadelphia Eagles,444.0,5491.0,994.0,5.5,13.0,5.0,317.0,292.0,485.0,3470.0,33.0,8.0,6.7,178.0,479.0,2021.0,11.0,4.2,108.0,118.0,996.0,31.0,39.0,6.6,-87.34
New Orleans Saints,454.0,7042.0,1089.0,6.5,26.0,11.0,380.0,370.0,602.0,4681.0,31.0,15.0,7.4,236.0,457.0,2361.0,18.0,5.2,116.0,102.0,835.0,28.0,39.6,13.0,-124.99
Tennessee Titans,471.0,5999.0,1086.0,5.5,24.0,5.0,358.0,374.0,564.0,3964.0,31.0,19.0,6.6,210.0,483.0,2035.0,16.0,4.2,122.0,86.0,717.0,26.0,39.8,12.6,-57.49
Avg Team,364.1,5555.2,1027.6,5.4,24.9,10.3,317.6,338.5,555.9,3700.6,23.7,14.6,6.2,191.9,435.2,1854.7,12.5,4.3,96.9,100.40625,850.65625,28.8,33.74999999999999,12.459375,-28.718750000000004
