Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense
Tennessee Oilers,320.0,5121.0,955.0,5.4,19.0,7.0,279.0,319.0,511.0,3511.0,24.0,12.0,6.5,170.0,414.0,1610.0,9.0,3.9,81.0,93.0,704.0,28.0,33.1,8.0
San Francisco 49ers,328.0,5343.0,1012.0,5.3,33.0,12.0,297.0,294.0,566.0,3733.0,25.0,21.0,6.1,178.0,395.0,1610.0,13.0,4.1,91.0,101.0,800.0,28.0,30.0,16.4
New England Patriots,329.0,5182.0,1053.0,4.9,31.0,7.0,305.0,336.0,570.0,3635.0,26.0,24.0,6.0,208.0,447.0,1547.0,8.0,3.5,76.0,104.0,787.0,21.0,33.3,15.2
Buffalo Bills,333.0,4691.0,950.0,4.9,31.0,13.0,283.0,294.0,532.0,3198.0,27.0,18.0,5.6,168.0,375.0,1493.0,11.0,4.0,79.0,104.0,836.0,36.0,30.3,14.6
Baltimore Ravens,335.0,5297.0,1050.0,5.0,23.0,6.0,298.0,316.0,539.0,3592.0,20.0,17.0,6.2,180.0,472.0,1705.0,12.0,3.6,90.0,122.0,1013.0,28.0,31.4,11.6
Jacksonville Jaguars,338.0,5559.0,1057.0,5.3,30.0,17.0,309.0,325.0,577.0,3559.0,23.0,13.0,5.9,178.0,450.0,2000.0,9.0,4.4,108.0,109.0,953.0,23.0,32.9,16.0
San Diego Chargers,342.0,4208.0,991.0,4.2,27.0,7.0,256.0,271.0,530.0,3068.0,21.0,20.0,5.4,149.0,422.0,1140.0,12.0,2.7,72.0,120.0,1005.0,35.0,27.5,12.0
Philadelphia Eagles,344.0,5136.0,1019.0,5.0,17.0,8.0,286.0,249.0,449.0,2720.0,18.0,9.0,5.5,133.0,528.0,2416.0,18.0,4.6,125.0,113.0,904.0,28.0,30.7,7.8
Oakland Raiders,356.0,4550.0,1020.0,4.5,35.0,14.0,273.0,291.0,497.0,2876.0,22.0,21.0,5.3,150.0,482.0,1674.0,8.0,3.5,95.0,115.0,921.0,28.0,26.9,14.5
New Orleans Saints,359.0,5668.0,1053.0,5.4,32.0,11.0,326.0,328.0,539.0,3968.0,24.0,21.0,6.8,208.0,467.0,1700.0,13.0,3.6,86.0,132.0,1164.0,32.0,32.6,16.6
Kansas City Chiefs,363.0,4854.0,1010.0,4.8,33.0,20.0,321.0,259.0,479.0,2985.0,17.0,13.0,5.8,146.0,491.0,1869.0,22.0,3.8,119.0,138.0,1292.0,56.0,30.1,14.5
Chicago Bears,368.0,5103.0,963.0,5.3,28.0,14.0,300.0,292.0,456.0,3228.0,27.0,14.0,6.7,155.0,479.0,1875.0,12.0,3.9,121.0,102.0,852.0,24.0,35.5,13.1
Detroit Lions,378.0,5117.0,1004.0,5.1,21.0,9.0,308.0,284.0,474.0,3015.0,23.0,12.0,5.8,167.0,487.0,2102.0,15.0,4.3,113.0,98.0,791.0,28.0,33.2,10.5
St. Louis Rams,378.0,4880.0,1004.0,4.9,23.0,7.0,282.0,256.0,475.0,2831.0,28.0,16.0,5.4,161.0,479.0,2049.0,11.0,4.3,92.0,112.0,915.0,29.0,29.0,11.7
Arizona Cardinals,378.0,5265.0,1049.0,5.0,39.0,19.0,321.0,299.0,518.0,3276.0,21.0,20.0,5.9,177.0,492.0,1989.0,18.0,4.0,117.0,114.0,954.0,27.0,32.7,17.5
Carolina Panthers,413.0,5842.0,1029.0,5.7,33.0,14.0,315.0,298.0,501.0,3709.0,30.0,19.0,6.9,197.0,491.0,2133.0,14.0,4.3,95.0,110.0,892.0,23.0,39.9,15.5
Washington Redskins,421.0,5354.0,1057.0,5.1,21.0,8.0,303.0,281.0,493.0,2918.0,21.0,13.0,5.5,152.0,531.0,2436.0,24.0,4.6,127.0,95.0,824.0,24.0,37.2,8.8
Indianapolis Colts,444.0,5836.0,1043.0,5.6,19.0,11.0,341.0,275.0,461.0,3266.0,27.0,8.0,6.5,181.0,544.0,2570.0,20.0,4.7,131.0,108.0,917.0,29.0,39.7,10.3
Cincinnati Bengals,452.0,5763.0,992.0,5.8,20.0,7.0,310.0,233.0,406.0,3151.0,23.0,13.0,7.3,152.0,558.0,2612.0,23.0,4.7,142.0,127.0,1012.0,16.0,39.4,10.6
Avg Team,340.5,5082.6,1008.8,5.0,28.7,11.7,291.3,292.2,516.3,3279.5,21.9,17.0,5.9,167.5,452.3,1803.1,12.6,4.0,96.6,111.6,922.0,27.2,30.690000000000005,14.193333333333335
