Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense
Atlanta Falcons,315.0,5692.0,1052.0,5.4,38.0,14.0,312.0,281.0,504.0,3373.0,17.0,24.0,6.3,168.0,518.0,2319.0,14.0,4.5,124.0,92.0,761.0,20.0,0.0,0.0
Indianapolis Colts,315.0,5296.0,1016.0,5.2,35.0,20.0,315.0,321.0,539.0,3602.0,21.0,15.0,6.3,184.0,447.0,1694.0,14.0,3.8,109.0,118.0,965.0,22.0,0.0,0.0
Green Bay Packers,315.0,4843.0,1018.0,4.8,41.0,21.0,281.0,256.0,474.0,2733.0,12.0,20.0,5.4,136.0,514.0,2110.0,17.0,4.1,130.0,112.0,903.0,15.0,0.0,0.0
Philadelphia Eagles,319.0,5799.0,1086.0,5.3,44.0,12.0,311.0,309.0,578.0,4147.0,23.0,32.0,6.7,199.0,466.0,1652.0,11.0,3.5,85.0,115.0,897.0,27.0,0.0,0.0
Kansas City Chiefs,320.0,5026.0,1042.0,4.8,31.0,13.0,318.0,214.0,410.0,2434.0,12.0,18.0,5.6,136.0,609.0,2592.0,23.0,4.3,162.0,106.0,854.0,20.0,0.0,0.0
Cincinnati Bengals,329.0,5182.0,1059.0,4.9,36.0,14.0,322.0,283.0,524.0,3134.0,19.0,22.0,5.5,177.0,493.0,2048.0,18.0,4.2,126.0,95.0,873.0,19.0,0.0,0.0
Seattle Seahawks,329.0,5639.0,1040.0,5.4,40.0,18.0,321.0,280.0,501.0,3353.0,21.0,22.0,6.3,171.0,509.0,2286.0,14.0,4.5,134.0,111.0,861.0,16.0,0.0,0.0
San Diego Chargers,332.0,5418.0,1072.0,5.1,26.0,10.0,335.0,274.0,517.0,3285.0,22.0,16.0,6.0,173.0,521.0,2133.0,15.0,4.1,135.0,74.0,619.0,27.0,0.0,0.0
Tampa Bay Buccaneers,350.0,5155.0,1025.0,5.0,33.0,12.0,293.0,304.0,527.0,3604.0,19.0,21.0,6.6,169.0,478.0,1551.0,21.0,3.2,104.0,105.0,872.0,20.0,0.0,0.0
Denver Broncos,352.0,5471.0,1055.0,5.2,29.0,13.0,316.0,262.0,467.0,2933.0,18.0,16.0,5.8,161.0,552.0,2538.0,21.0,4.6,140.0,116.0,966.0,15.0,0.0,0.0
New York Jets,354.0,5633.0,1038.0,5.4,40.0,16.0,310.0,244.0,476.0,3509.0,28.0,24.0,6.7,162.0,517.0,2124.0,15.0,4.1,123.0,89.0,757.0,25.0,0.0,0.0
Houston Oilers,365.0,4858.0,985.0,4.9,42.0,20.0,304.0,281.0,512.0,3266.0,22.0,22.0,5.9,170.0,431.0,1592.0,20.0,3.7,94.0,118.0,947.0,40.0,0.0,0.0
Los Angeles Raiders,369.0,5379.0,1056.0,5.1,34.0,17.0,310.0,265.0,483.0,3171.0,23.0,17.0,6.1,165.0,533.0,2208.0,17.0,4.1,124.0,94.0,823.0,21.0,0.0,0.0
Miami Dolphins,380.0,5781.0,1072.0,5.4,31.0,15.0,359.0,298.0,491.0,3275.0,19.0,16.0,6.4,173.0,557.0,2506.0,22.0,4.5,155.0,103.0,734.0,31.0,0.0,0.0
Dallas Cowboys,381.0,5414.0,1023.0,5.3,19.0,9.0,297.0,264.0,523.0,3556.0,30.0,10.0,6.2,180.0,454.0,1858.0,13.0,4.1,93.0,92.0,772.0,24.0,0.0,0.0
Washington Redskins,387.0,5184.0,982.0,5.3,22.0,8.0,294.0,261.0,497.0,3439.0,24.0,14.0,6.4,153.0,442.0,1745.0,17.0,3.9,113.0,91.0,711.0,28.0,0.0,0.0
Phoenix Cardinals,398.0,5169.0,1014.0,5.1,29.0,13.0,301.0,264.0,508.0,3244.0,30.0,16.0,5.9,170.0,467.0,1925.0,19.0,4.1,111.0,103.0,770.0,20.0,0.0,0.0
Pittsburgh Steelers,421.0,5805.0,1067.0,5.4,33.0,13.0,319.0,309.0,532.0,3941.0,25.0,20.0,7.2,181.0,516.0,1864.0,20.0,3.6,110.0,79.0,705.0,28.0,0.0,0.0
Avg Team,324.1,5153.2,1026.7,5.0,34.5,14.7,302.6,273.9,504.7,3210.5,19.9,19.8,5.9,164.8,485.0,1942.7,15.1,4.0,113.9,99.64285714285714,808.7857142857142,24.0,0.0,0.0
