Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense
Arizona Cardinals,343.0,5685.0,1071.0,5.3,24.0,7.0,319.0,337.0,556.0,3598.0,26.0,17.0,6.3,179.0,496.0,2087.0,10.0,4.2,124.0,110.0,980.0,16.0,31.6,11.8,-9.14
Kansas City Chiefs,344.0,5304.0,1003.0,5.3,26.0,13.0,296.0,296.0,491.0,3164.0,19.0,13.0,6.1,167.0,481.0,2140.0,15.0,4.4,111.0,87.0,761.0,18.0,32.1,11.6,-11.48
Atlanta Falcons,377.0,5845.0,957.0,6.1,30.0,12.0,298.0,331.0,515.0,3902.0,29.0,18.0,7.1,184.0,405.0,1943.0,13.0,4.8,95.0,97.0,852.0,19.0,33.9,15.0,-71.54
Tennessee Titans,388.0,5515.0,996.0,5.5,24.0,11.0,300.0,328.0,559.0,4084.0,27.0,13.0,6.9,192.0,405.0,1431.0,17.0,3.5,79.0,88.0,832.0,29.0,34.0,11.3,-56.91
Minnesota Vikings,390.0,5666.0,985.0,5.8,18.0,10.0,312.0,291.0,478.0,3367.0,16.0,8.0,6.6,166.0,477.0,2299.0,21.0,4.8,127.0,92.0,874.0,19.0,39.5,9.0,-63.95
New Orleans Saints,409.0,5070.0,948.0,5.3,30.0,15.0,284.0,278.0,452.0,3355.0,30.0,15.0,6.6,169.0,443.0,1715.0,15.0,3.9,88.0,100.0,877.0,27.0,37.3,13.5,-12.39
Carolina Panthers,410.0,5943.0,1057.0,5.6,36.0,12.0,304.0,306.0,510.0,3642.0,25.0,24.0,6.8,187.0,521.0,2301.0,13.0,4.4,106.0,96.0,793.0,11.0,31.7,16.6,-3.95
Buffalo Bills,420.0,5292.0,969.0,5.5,19.0,8.0,302.0,284.0,453.0,3159.0,23.0,11.0,6.5,154.0,482.0,2133.0,20.0,4.4,122.0,93.0,835.0,26.0,39.0,9.3,-65.3
Detroit Lions,424.0,5521.0,1015.0,5.4,22.0,6.0,321.0,312.0,514.0,3528.0,30.0,16.0,6.5,189.0,470.0,1993.0,15.0,4.2,99.0,95.0,896.0,33.0,34.2,10.7,-88.96
Indianapolis Colts,486.0,5715.0,1004.0,5.7,25.0,10.0,323.0,311.0,509.0,3600.0,30.0,15.0,6.6,195.0,455.0,2115.0,20.0,4.6,108.0,96.0,759.0,20.0,41.5,11.4,-83.09
Avg Team,323.4,5081.3,1001.4,5.1,29.9,12.4,288.2,307.8,522.0,3292.9,20.5,17.6,5.9,170.1,440.8,1788.4,11.8,4.1,95.5,92.74193548387095,784.6774193548387,22.6,29.525806451612908,14.461290322580647,45.18838709677418
