Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense
Indianapolis Colts,320.0,5325.0,1090.0,4.9,28.0,10.0,311.0,354.0,598.0,3679.0,24.0,18.0,5.9,192.0,463.0,1646.0,8.0,3.6,98.0,110.0,824.0,21.0,0.0,0.0
New York Jets,320.0,5338.0,1014.0,5.3,38.0,21.0,315.0,333.0,522.0,3529.0,19.0,17.0,6.4,189.0,463.0,1809.0,17.0,3.9,105.0,63.0,489.0,21.0,0.0,0.0
Seattle Seahawks,323.0,5349.0,1077.0,5.0,30.0,11.0,318.0,313.0,537.0,3397.0,15.0,19.0,6.0,178.0,511.0,1952.0,15.0,3.8,122.0,103.0,773.0,18.0,0.0,0.0
Los Angeles Raiders,327.0,4943.0,1046.0,4.7,25.0,13.0,303.0,306.0,564.0,3400.0,24.0,12.0,5.6,176.0,444.0,1543.0,11.0,3.5,94.0,113.0,823.0,33.0,0.0,0.0
Miami Dolphins,327.0,5224.0,1000.0,5.2,32.0,9.0,305.0,334.0,577.0,3794.0,23.0,23.0,6.3,195.0,394.0,1430.0,14.0,3.6,85.0,82.0,653.0,25.0,0.0,0.0
Detroit Lions,342.0,5405.0,1086.0,5.0,23.0,11.0,326.0,370.0,547.0,3546.0,21.0,12.0,6.2,169.0,511.0,1859.0,15.0,3.6,131.0,130.0,1036.0,26.0,0.0,0.0
Tampa Bay Buccaneers,351.0,5336.0,986.0,5.4,21.0,12.0,298.0,303.0,498.0,3372.0,25.0,9.0,6.5,179.0,468.0,1964.0,13.0,4.2,100.0,94.0,690.0,19.0,0.0,0.0
Houston Oilers,352.0,4915.0,971.0,5.1,26.0,12.0,275.0,221.0,400.0,2795.0,18.0,14.0,6.5,132.0,540.0,2120.0,17.0,3.9,112.0,102.0,807.0,31.0,0.0,0.0
Buffalo Bills,356.0,5175.0,1007.0,5.1,28.0,12.0,294.0,314.0,535.0,3660.0,26.0,16.0,6.5,199.0,447.0,1515.0,10.0,3.4,82.0,101.0,770.0,13.0,0.0,0.0
Los Angeles Rams,365.0,5170.0,1063.0,4.9,20.0,6.0,333.0,320.0,541.0,3389.0,23.0,14.0,6.0,198.0,496.0,1781.0,12.0,3.6,103.0,114.0,1015.0,32.0,0.0,0.0
Atlanta Falcons,385.0,5829.0,1038.0,5.6,33.0,11.0,330.0,364.0,580.0,4136.0,26.0,22.0,6.8,201.0,426.0,1693.0,16.0,4.0,107.0,111.0,853.0,22.0,0.0,0.0
Denver Broncos,396.0,5907.0,1023.0,5.8,26.0,14.0,303.0,322.0,568.0,4155.0,28.0,12.0,7.0,182.0,432.0,1752.0,12.0,4.1,103.0,134.0,1031.0,18.0,0.0,0.0
Cincinnati Bengals,406.0,5154.0,1053.0,4.9,18.0,8.0,310.0,294.0,505.0,3248.0,22.0,10.0,6.1,168.0,517.0,1906.0,16.0,3.7,126.0,99.0,861.0,16.0,0.0,0.0
New Orleans Saints,407.0,5569.0,1053.0,5.3,31.0,14.0,337.0,353.0,559.0,3811.0,28.0,17.0,6.4,208.0,458.0,1758.0,10.0,3.8,106.0,105.0,922.0,23.0,0.0,0.0
Washington Redskins,412.0,5609.0,1080.0,5.2,23.0,6.0,331.0,300.0,496.0,3634.0,22.0,17.0,6.9,182.0,556.0,1975.0,24.0,3.6,129.0,98.0,839.0,20.0,0.0,0.0
Avg Team,324.1,5085.9,1019.4,5.0,29.7,12.8,297.6,312.1,537.7,3417.6,20.8,16.9,6.0,176.6,448.2,1668.2,12.1,3.7,97.0,103.85714285714286,836.9642857142858,24.0,0.0,0.0
