Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense
Houston Oilers,307.0,4635.0,890.0,5.2,33.0,12.0,279.0,267.0,460.0,3060.0,18.0,21.0,6.1,160.0,392.0,1575.0,12.0,4.0,88.0,134.0,1015.0,31.0,0.0,0.0
Dallas Cowboys,308.0,4615.0,988.0,4.7,30.0,19.0,280.0,271.0,470.0,2639.0,12.0,11.0,5.2,153.0,482.0,1976.0,18.0,4.1,109.0,104.0,911.0,18.0,0.0,0.0
Minnesota Vikings,326.0,4717.0,972.0,4.9,33.0,11.0,257.0,218.0,422.0,2643.0,20.0,22.0,5.6,136.0,503.0,2074.0,12.0,4.1,107.0,100.0,787.0,14.0,0.0,0.0
New York Jets,345.0,5455.0,977.0,5.6,29.0,11.0,318.0,311.0,516.0,3437.0,23.0,18.0,6.2,186.0,423.0,2018.0,15.0,4.8,112.0,106.0,876.0,20.0,0.0,0.0
Green Bay Packers,347.0,5442.0,981.0,5.5,30.0,14.0,286.0,256.0,479.0,3383.0,20.0,16.0,6.7,160.0,475.0,2059.0,16.0,4.3,113.0,109.0,854.0,13.0,0.0,0.0
Cincinnati Bengals,352.0,5605.0,1010.0,5.5,31.0,16.0,308.0,300.0,543.0,3520.0,24.0,15.0,6.2,180.0,442.0,2085.0,15.0,4.7,116.0,101.0,824.0,12.0,0.0,0.0
Indianapolis Colts,353.0,5614.0,1034.0,5.4,24.0,15.0,320.0,301.0,492.0,3402.0,20.0,9.0,6.5,176.0,513.0,2212.0,12.0,4.3,130.0,104.0,781.0,14.0,0.0,0.0
Atlanta Falcons,365.0,5270.0,983.0,5.4,35.0,18.0,300.0,297.0,537.0,3913.0,31.0,17.0,6.9,179.0,413.0,1357.0,11.0,3.3,79.0,95.0,811.0,42.0,0.0,0.0
Tampa Bay Buccaneers,367.0,5479.0,1001.0,5.5,42.0,17.0,313.0,263.0,471.0,3256.0,22.0,25.0,6.4,168.0,496.0,2223.0,20.0,4.5,129.0,78.0,617.0,16.0,0.0,0.0
Denver Broncos,374.0,5345.0,969.0,5.5,25.0,15.0,306.0,284.0,479.0,3382.0,22.0,10.0,6.6,181.0,456.0,1963.0,16.0,4.3,110.0,105.0,819.0,15.0,0.0,0.0
Phoenix Cardinals,396.0,5216.0,959.0,5.4,27.0,11.0,306.0,233.0,402.0,2898.0,29.0,16.0,6.6,146.0,521.0,2318.0,20.0,4.4,140.0,96.0,834.0,20.0,0.0,0.0
Los Angeles Rams,412.0,5411.0,949.0,5.7,31.0,19.0,286.0,296.0,501.0,3762.0,30.0,12.0,7.1,175.0,418.0,1649.0,17.0,3.9,93.0,109.0,968.0,18.0,0.0,0.0
Detroit Lions,413.0,5734.0,1080.0,5.3,35.0,18.0,334.0,319.0,507.0,3346.0,21.0,17.0,6.1,173.0,532.0,2388.0,22.0,4.5,142.0,97.0,788.0,19.0,0.0,0.0
New England Patriots,446.0,5697.0,972.0,5.9,32.0,18.0,307.0,218.0,374.0,3021.0,21.0,14.0,7.4,139.0,565.0,2676.0,29.0,4.7,151.0,73.0,488.0,17.0,0.0,0.0
Cleveland Browns,462.0,5190.0,987.0,5.3,22.0,9.0,314.0,253.0,444.0,3085.0,32.0,13.0,6.5,169.0,511.0,2105.0,21.0,4.1,117.0,95.0,684.0,28.0,0.0,0.0
Avg Team,322.0,4937.9,965.2,5.1,31.8,14.6,284.2,270.4,482.7,3116.0,20.5,17.1,6.0,160.7,444.4,1821.9,13.5,4.1,103.4,97.25,763.8571428571429,20.1,0.0,0.0
