Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense
Arizona Cardinals,322.0,5141.0,993.0,5.2,30.0,15.0,282.0,271.0,505.0,3036.0,18.0,15.0,5.6,153.0,450.0,2105.0,12.0,4.7,101.0,139.0,1121.0,28.0,27.1,14.8,82.16
Chicago Bears,331.0,5390.0,1046.0,5.2,29.0,12.0,302.0,287.0,515.0,3340.0,23.0,17.0,6.1,165.0,496.0,2050.0,9.0,4.1,109.0,120.0,914.0,28.0,26.9,13.4,126.31
Atlanta Falcons,337.0,5207.0,999.0,5.2,32.0,13.0,310.0,328.0,517.0,3526.0,19.0,19.0,6.2,183.0,434.0,1681.0,20.0,3.9,107.0,129.0,930.0,20.0,29.7,16.8,21.44
Houston Texans,339.0,5458.0,971.0,5.6,30.0,8.0,304.0,344.0,530.0,3615.0,32.0,22.0,6.5,194.0,417.0,1843.0,4.0,4.4,89.0,123.0,979.0,21.0,32.6,16.9,10.75
Carolina Panthers,339.0,5382.0,1021.0,5.3,38.0,12.0,307.0,303.0,513.0,3478.0,18.0,26.0,6.4,177.0,474.0,1904.0,19.0,4.0,98.0,117.0,1078.0,32.0,30.5,19.8,18.01
New York Giants,347.0,5187.0,1005.0,5.2,28.0,14.0,310.0,292.0,467.0,3030.0,28.0,14.0,6.0,170.0,498.0,2157.0,13.0,4.3,112.0,120.0,1007.0,28.0,31.9,14.7,8.03
Detroit Lions,350.0,5401.0,1071.0,5.0,24.0,10.0,320.0,328.0,535.0,3514.0,29.0,14.0,6.1,167.0,498.0,1887.0,10.0,3.8,118.0,114.0,976.0,35.0,29.6,12.2,-9.84
Indianapolis Colts,351.0,5929.0,1042.0,5.7,36.0,17.0,331.0,364.0,557.0,3892.0,26.0,19.0,6.5,209.0,440.0,2037.0,12.0,4.6,103.0,116.0,877.0,19.0,35.4,18.5,-55.12
Miami Dolphins,354.0,4894.0,1009.0,4.9,25.0,10.0,281.0,244.0,434.0,2592.0,20.0,15.0,5.5,139.0,539.0,2302.0,12.0,4.3,107.0,107.0,852.0,35.0,25.4,11.2,43.16
Cincinnati Bengals,372.0,5365.0,1031.0,5.2,36.0,16.0,303.0,313.0,520.0,3303.0,23.0,20.0,5.9,158.0,474.0,2062.0,11.0,4.4,123.0,106.0,887.0,22.0,31.8,16.4,66.27
Seattle Seahawks,373.0,5621.0,1047.0,5.4,35.0,12.0,311.0,340.0,559.0,3590.0,24.0,23.0,6.0,191.0,452.0,2031.0,17.0,4.5,102.0,91.0,748.0,18.0,35.2,18.1,-17.63
Green Bay Packers,380.0,5541.0,967.0,5.7,15.0,7.0,307.0,314.0,518.0,3663.0,33.0,8.0,6.6,181.0,409.0,1878.0,12.0,4.6,92.0,112.0,942.0,34.0,34.3,7.7,-85.43
Cleveland Browns,390.0,5215.0,1024.0,5.1,28.0,13.0,307.0,277.0,460.0,2901.0,17.0,15.0,5.9,144.0,532.0,2314.0,22.0,4.3,141.0,109.0,890.0,22.0,32.3,12.3,15.16
St. Louis Rams,392.0,5353.0,1006.0,5.3,15.0,9.0,311.0,292.0,492.0,3174.0,24.0,6.0,6.0,172.0,480.0,2179.0,13.0,4.5,118.0,109.0,827.0,21.0,37.6,7.7,-62.19
Minnesota Vikings,395.0,5902.0,1018.0,5.8,22.0,11.0,350.0,338.0,544.0,3896.0,30.0,11.0,6.7,220.0,435.0,2006.0,15.0,4.6,110.0,110.0,974.0,20.0,41.6,13.3,-126.1
Dallas Cowboys,405.0,5285.0,960.0,5.5,22.0,9.0,297.0,310.0,502.0,3521.0,31.0,13.0,6.6,180.0,425.0,1764.0,14.0,4.2,88.0,104.0,879.0,29.0,35.7,10.8,-63.44
New Orleans Saints,405.0,6141.0,1067.0,5.8,33.0,20.0,343.0,324.0,545.0,3888.0,24.0,13.0,6.7,193.0,485.0,2253.0,16.0,4.6,118.0,119.0,965.0,32.0,36.6,16.5,-73.12
Kansas City Chiefs,435.0,6037.0,960.0,6.3,21.0,8.0,327.0,312.0,522.0,4203.0,32.0,13.0,7.5,190.0,397.0,1834.0,18.0,4.6,97.0,117.0,957.0,40.0,38.8,10.9,-104.89
Tennessee Titans,439.0,5724.0,977.0,5.9,30.0,12.0,318.0,333.0,524.0,3807.0,29.0,18.0,6.8,189.0,421.0,1917.0,18.0,4.6,99.0,95.0,774.0,30.0,36.5,14.6,-57.22
Oakland Raiders,442.0,5936.0,1072.0,5.5,18.0,9.0,367.0,315.0,510.0,3924.0,30.0,9.0,7.3,210.0,537.0,2012.0,21.0,3.7,115.0,102.0,837.0,42.0,37.2,9.8,-122.14
San Francisco 49ers,452.0,5481.0,1014.0,5.4,21.0,12.0,322.0,308.0,490.0,3486.0,27.0,9.0,6.7,179.0,495.0,1995.0,22.0,4.0,121.0,107.0,867.0,22.0,37.9,9.7,-58.51
Avg Team,343.8,5234.6,999.3,5.2,28.3,11.9,300.4,305.4,511.1,3368.7,22.9,16.4,6.1,172.6,450.9,1865.9,13.0,4.1,99.9,111.5625,912.9375,27.8,30.875,14.334375,14.3478125
