Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP
19,Kansas City Chiefs,16,365,546,66.8,3740,19,3.5,8,1.5,80,7.2,7.2,10.7,233.8,93.2,32,174,6.5,6.5,5.5,3,3,70.40
20,Jacksonville Jaguars,16,369,626,58.9,3728,24,3.8,16,2.6,51,6.3,5.9,10.6,233.0,79.5,34,197,5.6,5.3,5.2,1,1,36.21
21,Denver Broncos,16,339,570,59.5,3685,20,3.5,11,1.9,76,6.9,6.7,11.5,230.3,83.9,40,229,6.0,5.9,6.6,3,2,24.92
22,Carolina Panthers,16,306,563,54.4,3685,21,3.7,19,3.4,88,7.0,6.3,12.9,230.3,75.1,36,277,6.2,5.4,6.0,,,21.25
23,Dallas Cowboys,16,325,483,67.3,3631,25,5.2,6,1.2,83,7.9,8.3,11.7,226.9,103.0,28,168,7.1,7.6,5.5,5,5,148.72
24,Philadelphia Eagles,16,380,609,62.4,3585,16,2.6,14,2.3,73,6.2,5.7,10.0,224.1,79.2,33,213,5.6,5.1,5.1,1,1,36.74
25,Tennessee Titans,16,307,504,60.9,3541,29,5.8,11,2.2,60,7.4,7.5,12.1,221.3,93.7,28,179,6.7,6.8,5.3,2,2,81.97
26,Miami Dolphins,16,316,477,66.2,3500,27,5.7,15,3.1,74,7.8,7.5,11.8,218.8,95.5,30,216,6.9,6.6,5.9,4,5,59.80
27,New York Jets,16,311,550,56.5,3466,16,2.9,25,4.5,69,6.6,5.2,11.7,216.6,67.6,35,179,5.9,4.5,6.0,1,1,-25.88
28,Cleveland Browns,16,338,567,59.6,3264,15,2.6,14,2.5,58,6.5,5.9,10.9,204.0,77.4,66,429,5.2,4.6,10.4,,,22.11
29,Houston Texans,16,347,583,59.5,3176,15,2.6,16,2.7,53,5.9,5.1,9.9,198.5,73.3,32,242,5.2,4.5,5.2,4,4,-26.81
30,Buffalo Bills,16,286,474,60.3,3036,17,3.6,7,1.5,84,6.9,6.9,11.4,189.8,86.7,46,214,5.8,5.9,8.8,1,1,50.53
31,Los Angeles Rams,16,312,536,58.2,2951,14,2.6,20,3.7,66,6.2,5.0,10.6,184.4,69.5,49,362,5.0,4.0,8.4,1,2,-102.82
32,San Francisco 49ers,16,287,491,58.5,2911,21,4.3,10,2.0,75,6.4,6.4,11.0,181.9,83.4,47,255,5.4,5.4,8.7,1,1,-17.00
,Avg Team,,360.2,571.7,63.0,3863.7,24.6,4.3,13.0,2.3,72,7.2,7.0,11.4,241.5,87.6,34.9,225.8,6.37,6.2,5.8,2.3,2.7,81.4
,League Total,,11526,18295,63.0,123639,786,4.3,415,2.3,98,7.2,7.0,11.4,241.5,87.6,1118,7225,6.37,6.2,5.8,74,86,
,Avg Tm/G,,22.5,35.7,63.0,241.5,1.5,4.3,0.8,2.3,,7.2,7.0,11.4,241.5,87.6,2.2,14.1,6.37,6.2,5.8,,,
