Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP
17,Cincinnati Bengals,16,335,540,62.0,3578,28,5.2,16,3.0,73,7.1,6.8,11.4,223.6,88.1,46,229,6.1,5.8,7.8,2,4,5.27
18,St. Louis Rams,16,332,557,59.6,3550,22,3.9,14,2.5,80,6.8,6.5,11.4,221.9,82.7,35,233,6.0,5.7,5.9,4,3,19.10
19,Cleveland Browns,16,328,566,58.0,3435,16,2.8,18,3.2,71,6.5,5.6,11.2,214.7,73.5,36,233,5.7,4.9,6.0,1,1,-33.56
20,Washington Redskins,16,291,442,65.8,3422,24,5.4,8,1.8,88,8.3,8.6,12.6,213.9,102.1,33,244,7.2,7.5,6.9,4,3,94.01
21,Jacksonville Jaguars,16,328,586,56.0,3419,20,3.4,17,2.9,81,6.4,5.8,11.4,213.7,74.7,50,327,5.4,4.8,7.9,1,1,-79.92
22,Tennessee Titans,16,318,540,58.9,3323,17,3.1,16,3.0,71,6.6,5.9,11.2,207.7,76.9,39,254,5.7,5.1,6.7,2,3,-34.38
23,San Francisco 49ers,16,289,436,66.3,3298,23,5.3,8,1.8,57,8.1,8.4,12.3,206.1,101.2,41,253,6.9,7.1,8.6,2,2,100.46
24,San Diego Chargers,16,338,528,64.0,3295,26,4.9,15,2.8,80,6.8,6.5,10.7,205.9,88.5,49,311,5.7,5.4,8.5,,,20.85
25,Buffalo Bills,16,309,511,60.5,3269,24,4.7,17,3.3,68,6.7,6.2,11.1,204.3,82.2,30,161,6.0,5.5,5.5,0,1,20.72
26,Miami Dolphins,16,293,504,58.1,3182,13,2.6,13,2.6,80,6.8,6.2,11.7,198.9,76.7,37,243,5.9,5.3,6.8,1,1,2.00
27,Seattle Seahawks,16,259,405,64.0,3031,27,6.7,10,2.5,67,8.0,8.2,12.5,189.4,100.6,33,203,6.9,7.1,7.5,4,5,129.26
28,Arizona Cardinals,16,337,608,55.4,3005,11,1.8,21,3.5,53,5.6,4.4,10.0,187.8,63.1,58,378,4.5,3.4,8.7,3,3,-155.00
29,Chicago Bears,16,287,485,59.2,2999,21,4.3,16,3.3,60,6.8,6.2,11.5,187.4,80.4,44,299,5.7,5.1,8.3,1,1,2.87
30,New York Jets,16,272,493,55.2,2891,14,2.8,19,3.9,66,6.4,5.3,11.7,180.7,68.3,47,287,5.4,4.3,8.7,2,2,-65.56
31,Minnesota Vikings,16,300,483,62.1,2751,18,3.7,12,2.5,65,6.1,5.7,9.8,171.9,81.2,32,184,5.3,5.0,6.2,1,2,24.46
32,Kansas City Chiefs,16,273,475,57.5,2713,8,1.7,20,4.2,57,6.2,4.6,10.8,169.6,63.8,40,224,5.3,3.8,7.8,1,1,-95.42
,Avg Team,,338.5,555.9,60.9,3700.6,23.7,4.3,14.6,2.6,72,7.1,6.7,11.6,231.3,83.8,36.5,235.4,6.25,5.9,6.2,2.3,2.7,55.4
,League Total,,10833,17788,60.9,118418,757,4.3,468,2.6,95,7.1,6.7,11.6,231.3,83.8,1169,7533,6.25,5.9,6.2,73,86,
,Avg Tm/G,,21.2,34.7,60.9,231.3,1.5,4.3,0.9,2.6,,7.1,6.7,11.6,231.3,83.8,2.3,14.7,6.25,5.9,6.2,,,
