Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP
17,Dallas Cowboys,16,294,510,57.6,3162,17,3.3,21,4.1,64,6.6,5.4,11.4,197.6,71.4,37,185,5.8,4.7,6.8,2,2,-46.26
18,Carolina Panthers,16,270,460,58.7,3050,19,4.1,16,3.5,67,7.0,6.3,12.0,190.6,79.6,26,188,6.3,5.6,5.3,5,8,41.23
19,San Diego Chargers,16,297,525,56.6,3021,21,4.0,19,3.6,73,6.1,5.3,10.9,188.8,73.1,29,205,5.5,4.7,5.2,0,1,-44.44
20,Philadelphia Eagles,16,279,484,57.6,3020,17,3.5,11,2.3,59,6.8,6.4,11.7,188.8,80.5,43,253,5.7,5.4,8.2,3,5,-6.29
21,Washington Redskins,16,283,527,53.7,3006,21,4.0,16,3.0,64,6.2,5.6,11.6,187.9,73.3,43,267,5.3,4.7,7.5,0,2,-41.85
22,Denver Broncos,16,280,479,58.5,2969,19,4.0,18,3.8,72,6.5,5.6,11.2,185.6,75.6,25,157,5.9,5.0,5.0,1,2,6.94
23,Arizona Cardinals,16,303,534,56.7,2959,18,3.4,22,4.1,71,6.1,4.9,10.8,184.9,68.9,44,306,5.1,4.0,7.6,1,3,-84.15
24,Detroit Lions,16,319,588,54.3,2924,17,2.9,24,4.1,72,5.1,3.8,9.4,182.8,61.1,11,64,4.9,3.6,1.8,2,2,-88.79
25,Cleveland Browns,16,313,509,61.5,2834,17,3.3,18,3.5,71,6.1,5.2,10.0,177.1,75.2,40,282,5.2,4.3,7.3,2,2,-44.24
26,Miami Dolphins,16,257,450,57.1,2792,17,3.8,19,4.2,80,6.7,5.5,11.7,174.5,72.5,31,209,5.8,4.7,6.4,2,4,-43.98
27,Oakland Raiders,16,278,521,53.4,2751,9,1.7,14,2.7,47,5.7,4.9,10.7,171.9,65.0,43,237,4.9,4.1,7.6,1,2,-88.79
28,Buffalo Bills,16,293,502,58.4,2684,11,2.2,17,3.4,54,6.1,5.0,10.5,167.8,69.4,51,385,4.9,3.9,9.2,1,1,-83.78
29,Houston Texans,16,248,439,56.5,2655,14,3.2,18,4.1,78,6.5,5.3,11.5,165.9,69.7,36,186,5.6,4.5,7.6,3,3,-63.08
30,Chicago Bears,16,271,515,52.6,2617,12,2.3,20,3.9,61,5.6,4.4,10.7,163.6,61.0,43,288,4.7,3.5,7.7,2,3,-114.35
31,Atlanta Falcons,16,230,460,50.0,2408,14,3.0,21,4.6,86,5.7,4.3,11.4,150.5,58.7,35,223,4.9,3.5,7.1,1,0,-110.77
32,Baltimore Ravens,16,217,415,52.3,2255,16,3.9,19,4.6,73,6.1,4.8,11.6,140.9,64.7,42,262,4.9,3.8,9.2,2,2,-61.15
,Avg Team,,303.0,515.4,58.8,3207.1,20.4,4.0,16.8,3.3,71,6.6,6.0,11.3,200.4,76.6,34.1,213.7,5.84,5.2,6.2,1.8,2.6,0.5
,League Total,,9695,16493,58.8,102628,654,4.0,538,3.3,86,6.6,6.0,11.3,200.4,76.6,1092,6839,5.84,5.2,6.2,57,84,
,Avg Tm/G,,18.9,32.2,58.8,200.4,1.3,4.0,1.1,3.3,,6.6,6.0,11.3,200.4,76.6,2.1,13.4,5.84,5.2,6.2,,,
