Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP
17,Tampa Bay Buccaneers,16,306,494,61.9,3361,26,5.3,6,1.2,64,7.2,7.7,11.6,210.1,96.2,30,203,6.4,6.9,5.7,5,5,72.77
18,San Francisco 49ers,16,282,500,56.4,3356,19,3.8,15,3.0,66,7.2,6.6,12.8,209.8,79.4,44,257,6.2,5.6,8.1,2,2,-5.70
19,Seattle Seahawks,16,324,544,59.6,3341,14,2.6,20,3.7,87,6.5,5.4,10.9,208.8,72.1,35,195,5.8,4.7,6.0,0,0,-23.61
20,Baltimore Ravens,16,308,491,62.7,3335,25,5.1,10,2.0,67,7.4,7.5,11.8,208.4,93.6,40,294,6.3,6.4,7.5,2,4,89.23
21,St. Louis Rams,16,354,590,60.0,3268,18,3.1,15,2.5,49,6.0,5.4,9.9,204.3,76.5,34,244,5.2,4.7,5.4,,,-22.88
22,New York Jets,16,288,525,54.9,3242,20,3.8,14,2.7,74,6.5,6.1,11.9,202.6,76.5,28,178,5.9,5.4,5.1,4,6,39.60
23,Oakland Raiders,16,279,491,56.8,3180,18,3.7,16,3.3,73,7.1,6.3,12.4,198.8,77.5,44,291,5.9,5.3,8.2,2,2,16.19
24,Buffalo Bills,16,296,519,57.0,3158,24,4.6,21,4.0,65,6.5,5.6,11.4,197.4,75.2,34,213,5.7,4.9,6.1,1,1,-43.29
25,Tennessee Titans,16,273,474,57.6,3107,24,5.1,15,3.2,80,6.9,6.5,12.0,194.2,82.6,27,171,6.2,5.8,5.4,1,2,65.02
26,Minnesota Vikings,16,305,505,60.4,3097,14,2.8,26,5.1,53,6.6,4.8,10.9,193.6,67.7,36,230,5.7,4.1,6.7,1,2,-50.20
27,Jacksonville Jaguars,16,291,469,62.0,3065,26,5.5,21,4.5,75,7.2,6.2,11.5,191.6,83.4,38,291,6.0,5.2,7.5,1,5,20.91
28,Chicago Bears,16,276,466,59.2,3015,23,4.9,21,4.5,89,7.3,6.2,12.3,188.4,79.5,56,382,5.8,4.8,10.7,4,4,-35.91
29,Cleveland Browns,16,296,478,61.9,2989,13,2.7,18,3.8,65,6.7,5.6,10.8,186.8,75.0,36,214,5.8,4.7,7.0,1,2,-22.40
30,Kansas City Chiefs,16,274,475,57.7,2968,27,5.7,8,1.7,75,6.7,7.1,11.6,185.5,90.1,32,221,5.9,6.2,6.3,1,2,44.29
31,Arizona Cardinals,16,285,561,50.8,2921,10,1.8,19,3.4,74,5.8,4.7,11.5,182.6,60.5,50,343,4.8,3.7,8.2,2,3,-140.71
32,Carolina Panthers,16,256,484,52.9,2289,9,1.9,21,4.3,88,5.4,3.9,10.3,143.1,57.0,50,346,4.3,2.9,9.4,1,1,-143.05
,Avg Team,,327.8,539.7,60.8,3545.3,23.5,4.3,16.0,3.0,72,7.0,6.5,11.5,221.6,82.2,35.3,234.8,6.17,5.7,6.1,1.9,2.6,39.4
,League Total,,10491,17269,60.8,113450,751,4.3,511,3.0,92,7.0,6.5,11.5,221.6,82.2,1130,7514,6.17,5.7,6.1,60,83,
,Avg Tm/G,,20.5,33.7,60.8,221.6,1.5,4.3,1.0,3.0,,7.0,6.5,11.5,221.6,82.2,2.2,14.7,6.17,5.7,6.1,,,
