Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints
San Francisco 49ers,367.0,5701.0,1082.0,5.3,17.0,7.0,342.0,354.0,571.0,3457.0,23.0,10.0,5.8,182.0,489.0,2244.0,16.0,4.6,141.0,87.0,725.0,19.0,37.6,9.2,104.41
New York Jets,359.0,5036.0,917.0,5.5,19.0,9.0,300.0,329.0,485.0,3418.0,25.0,10.0,6.6,190.0,400.0,1618.0,12.0,4.0,86.0,79.0,685.0,24.0,36.1,10.7,55.22
Seattle Seahawks,355.0,5818.0,1050.0,5.5,28.0,12.0,347.0,361.0,587.0,4078.0,19.0,16.0,6.6,208.0,430.0,1740.0,17.0,4.0,104.0,100.0,792.0,35.0,33.0,15.6,53.38
Indianapolis Colts,349.0,5616.0,1048.0,5.4,32.0,13.0,324.0,392.0,591.0,4055.0,27.0,19.0,6.6,213.0,434.0,1561.0,12.0,3.6,93.0,91.0,730.0,18.0,33.9,16.4,19.53
Tampa Bay Buccaneers,346.0,5002.0,1022.0,4.9,21.0,11.0,287.0,348.0,567.0,3445.0,23.0,10.0,5.7,172.0,414.0,1557.0,6.0,3.8,90.0,103.0,789.0,25.0,32.6,10.7,-38.42
Cleveland Browns,344.0,5027.0,993.0,5.1,31.0,9.0,279.0,338.0,552.0,3412.0,27.0,22.0,5.8,171.0,406.0,1615.0,10.0,4.0,77.0,107.0,845.0,31.0,30.9,15.2,-6.85
San Diego Chargers,333.0,5325.0,1028.0,5.2,24.0,8.0,313.0,324.0,538.0,3188.0,17.0,16.0,5.7,166.0,466.0,2137.0,19.0,4.6,117.0,100.0,805.0,30.0,28.3,11.0,14.32
Jacksonville Jaguars,328.0,4851.0,959.0,5.1,15.0,6.0,275.0,268.0,462.0,2762.0,18.0,9.0,5.5,156.0,455.0,2089.0,19.0,4.6,105.0,89.0,685.0,14.0,31.5,7.9,9.2
New York Giants,320.0,5826.0,1059.0,5.5,27.0,13.0,323.0,338.0,549.0,3951.0,19.0,14.0,6.9,195.0,486.0,1875.0,14.0,3.9,95.0,113.0,955.0,33.0,31.2,13.8,25.44
Baltimore Ravens,316.0,4639.0,947.0,4.9,32.0,18.0,261.0,262.0,479.0,2847.0,20.0,14.0,5.5,145.0,427.0,1792.0,9.0,4.2,90.0,101.0,846.0,26.0,27.6,15.1,-68.23
St. Louis Rams,316.0,5559.0,1024.0,5.4,45.0,18.0,315.0,408.0,635.0,4154.0,24.0,27.0,6.1,219.0,343.0,1405.0,11.0,4.1,76.0,120.0,919.0,20.0,28.6,23.3,-67.55
Washington Redskins,307.0,5143.0,1039.0,4.9,40.0,20.0,303.0,300.0,559.0,3254.0,24.0,20.0,5.5,165.0,442.0,1889.0,10.0,4.3,107.0,116.0,968.0,31.0,25.4,18.3,-71.26
Detroit Lions,306.0,4471.0,955.0,4.7,31.0,6.0,242.0,277.0,577.0,2994.0,19.0,25.0,5.0,150.0,358.0,1477.0,9.0,4.1,69.0,104.0,916.0,23.0,26.0,14.8,-138.8
Chicago Bears,281.0,4395.0,969.0,4.5,35.0,17.0,260.0,310.0,543.0,3051.0,22.0,18.0,5.2,156.0,382.0,1344.0,8.0,3.5,79.0,95.0,864.0,25.0,26.1,16.1,-129.49
Cincinnati Bengals,279.0,5206.0,1054.0,4.9,35.0,13.0,315.0,350.0,591.0,3476.0,17.0,22.0,5.5,186.0,426.0,1730.0,13.0,4.1,105.0,99.0,884.0,24.0,24.6,16.9,-59.27
Arizona Cardinals,262.0,4563.0,1003.0,4.5,35.0,13.0,274.0,291.0,548.0,2740.0,18.0,22.0,4.7,148.0,414.0,1823.0,10.0,4.4,94.0,76.0,617.0,32.0,22.9,18.6,-105.9
Carolina Panthers,258.0,4280.0,960.0,4.5,40.0,18.0,238.0,255.0,464.0,2694.0,15.0,22.0,5.3,133.0,452.0,1586.0,11.0,3.5,82.0,94.0,785.0,23.0,19.4,17.5,-178.84
Dallas Cowboys,217.0,4375.0,948.0,4.6,34.0,18.0,237.0,252.0,471.0,2621.0,14.0,16.0,5.0,129.0,423.0,1754.0,7.0,4.1,87.0,105.0,974.0,21.0,16.3,15.8,-186.25
Houston Texans,213.0,3572.0,947.0,3.8,29.0,14.0,208.0,235.0,447.0,2225.0,11.0,15.0,4.3,119.0,424.0,1347.0,6.0,3.2,59.0,136.0,1011.0,30.0,16.9,11.9,-232.82
Avg Team,346.8,5253.8,1017.8,5.2,29.0,12.5,304.0,322.3,540.4,3395.7,21.7,16.5,5.9,175.9,440.7,1858.1,14.4,4.2,102.0,104.0,863.90625,26.0,31.587500000000002,14.31875,-13.913124999999994
