Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%
Pittsburgh Steelers,355.0,5014.0,1075.0,4.7,43.0,20.0,312.0,211.0,409.0,2404.0,15.0,23.0,5.2,141.0,614.0,2610.0,17.0,4.3,156.0,99.0,836.0,15.0,0.0,0.0
Detroit Lions,347.0,5136.0,1061.0,4.8,39.0,16.0,315.0,263.0,503.0,2955.0,19.0,23.0,5.4,156.0,513.0,2181.0,18.0,4.3,136.0,118.0,988.0,23.0,0.0,0.0
Cincinnati Bengals,346.0,5287.0,1036.0,5.1,33.0,15.0,327.0,290.0,454.0,3183.0,14.0,18.0,6.4,179.0,542.0,2104.0,24.0,3.9,127.0,99.0,837.0,21.0,0.0,0.0
New Orleans Saints,319.0,4938.0,1055.0,4.7,47.0,22.0,286.0,243.0,425.0,2477.0,14.0,25.0,5.4,136.0,595.0,2461.0,19.0,4.1,135.0,91.0,802.0,15.0,0.0,0.0
Minnesota Vikings,316.0,5019.0,1068.0,4.7,32.0,10.0,303.0,310.0,555.0,3211.0,15.0,22.0,5.4,169.0,470.0,1808.0,17.0,3.8,112.0,90.0,748.0,22.0,0.0,0.0
New York Jets,313.0,5493.0,1076.0,5.1,47.0,19.0,313.0,330.0,559.0,3425.0,21.0,28.0,5.7,171.0,474.0,2068.0,11.0,4.4,126.0,110.0,1059.0,16.0,0.0,0.0
Chicago Bears,311.0,5830.0,1083.0,5.4,36.0,14.0,308.0,255.0,447.0,3103.0,21.0,22.0,6.2,136.0,583.0,2727.0,14.0,4.7,154.0,107.0,869.0,18.0,0.0,0.0
Denver Broncos,302.0,4811.0,1025.0,4.7,41.0,19.0,292.0,254.0,499.0,3027.0,17.0,22.0,5.5,155.0,471.0,1784.0,15.0,3.8,99.0,100.0,804.0,38.0,0.0,0.0
Houston Oilers,288.0,4900.0,1033.0,4.7,47.0,18.0,295.0,260.0,482.0,2902.0,16.0,29.0,5.5,155.0,502.0,1998.0,16.0,4.0,120.0,84.0,784.0,20.0,0.0,0.0
Buffalo Bills,283.0,4823.0,1023.0,4.7,40.0,12.0,309.0,317.0,571.0,3087.0,30.0,28.0,5.1,171.0,415.0,1736.0,4.0,4.2,100.0,144.0,1094.0,38.0,0.0,0.0
New England Patriots,274.0,5311.0,995.0,5.3,38.0,20.0,284.0,220.0,412.0,2706.0,16.0,18.0,5.9,138.0,538.0,2605.0,19.0,4.8,130.0,90.0,815.0,16.0,0.0,0.0
New York Giants,267.0,5285.0,1130.0,4.7,58.0,27.0,296.0,284.0,575.0,3491.0,12.0,31.0,5.6,164.0,506.0,1794.0,9.0,3.5,104.0,113.0,1020.0,28.0,0.0,0.0
Baltimore Colts,264.0,5018.0,1025.0,4.9,33.0,11.0,272.0,188.0,377.0,2323.0,12.0,22.0,5.5,110.0,601.0,2695.0,10.0,4.5,146.0,120.0,986.0,16.0,0.0,0.0
Tampa Bay Buccaneers,241.0,4477.0,1005.0,4.5,37.0,13.0,249.0,300.0,528.0,3124.0,18.0,24.0,5.4,157.0,428.0,1353.0,9.0,3.2,72.0,94.0,832.0,20.0,0.0,0.0
Philadelphia Eagles,233.0,4534.0,945.0,4.8,36.0,18.0,253.0,252.0,486.0,3117.0,22.0,18.0,5.7,150.0,402.0,1417.0,5.0,3.5,91.0,79.0,637.0,12.0,0.0,0.0
Avg Team,349.3,5349.8,1052.6,5.1,39.8,17.6,310.8,285.5,501.7,3274.0,22.3,22.1,6.0,167.0,507.5,2075.8,15.6,4.1,121.7,100.03571428571429,846.8928571428571,22.1,0.0,0.0
