Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints
Baltimore Ravens,385.0,5184.0,1058.0,4.9,21.0,9.0,300.0,261.0,433.0,2808.0,16.0,12.0,6.0,147.0,592.0,2376.0,20.0,4.0,132.0,103.0,785.0,21.0,33.0,10.8,-42.34
Minnesota Vikings,379.0,5288.0,1014.0,5.2,31.0,14.0,292.0,267.0,452.0,2956.0,22.0,17.0,6.0,150.0,519.0,2332.0,15.0,4.5,119.0,90.0,692.0,23.0,34.7,14.7,-36.35
Indianapolis Colts,377.0,5368.0,969.0,5.5,17.0,5.0,321.0,393.0,585.0,4094.0,27.0,12.0,6.8,220.0,370.0,1274.0,13.0,3.4,80.0,86.0,619.0,21.0,40.7,10.0,135.29
Tennessee Titans,375.0,5018.0,973.0,5.2,17.0,8.0,268.0,265.0,453.0,2819.0,13.0,9.0,6.1,143.0,508.0,2199.0,24.0,4.3,108.0,108.0,855.0,17.0,34.6,8.9,-3.38
Chicago Bears,375.0,4734.0,991.0,4.8,27.0,13.0,264.0,304.0,528.0,3061.0,20.0,14.0,5.5,153.0,434.0,1673.0,15.0,3.9,98.0,78.0,610.0,13.0,30.5,11.3,-73.66
Denver Broncos,370.0,6333.0,1019.0,6.2,30.0,12.0,354.0,386.0,620.0,4471.0,25.0,18.0,7.1,223.0,387.0,1862.0,15.0,4.8,103.0,77.0,739.0,28.0,38.9,17.4,122.17
Houston Texans,366.0,6113.0,1019.0,6.0,32.0,12.0,340.0,367.0,555.0,4267.0,21.0,20.0,7.3,210.0,432.0,1846.0,16.0,4.3,106.0,80.0,664.0,24.0,38.2,17.3,76.37
Dallas Cowboys,362.0,5512.0,979.0,5.6,33.0,13.0,291.0,328.0,547.0,3789.0,29.0,20.0,6.6,171.0,401.0,1723.0,12.0,4.3,102.0,120.0,957.0,18.0,32.1,16.3,-6.02
Tampa Bay Buccaneers,361.0,5456.0,1045.0,5.2,26.0,13.0,298.0,355.0,562.0,3619.0,18.0,13.0,6.1,184.0,451.0,1837.0,13.0,4.1,100.0,95.0,834.0,14.0,33.3,12.7,-27.62
Pittsburgh Steelers,347.0,4991.0,1015.0,4.9,25.0,10.0,290.0,303.0,506.0,3301.0,19.0,15.0,5.9,179.0,460.0,1690.0,16.0,3.7,93.0,95.0,812.0,18.0,32.6,12.6,-27.31
Miami Dolphins,345.0,5529.0,965.0,5.7,13.0,6.0,308.0,330.0,491.0,3632.0,20.0,7.0,7.0,184.0,448.0,1897.0,18.0,4.2,111.0,81.0,669.0,13.0,33.9,6.9,63.42
San Francisco 49ers,339.0,4978.0,961.0,5.2,35.0,16.0,287.0,309.0,509.0,3379.0,21.0,19.0,6.0,176.0,397.0,1599.0,10.0,4.0,83.0,98.0,732.0,28.0,33.0,18.4,-41.51
Buffalo Bills,336.0,4882.0,956.0,5.1,30.0,15.0,287.0,309.0,479.0,3040.0,14.0,15.0,5.9,167.0,439.0,1842.0,16.0,4.2,107.0,71.0,538.0,13.0,34.1,16.5,-50.77
Jacksonville Jaguars,302.0,5106.0,1005.0,5.1,24.0,11.0,312.0,335.0,537.0,3332.0,15.0,13.0,5.8,183.0,426.0,1774.0,17.0,4.2,107.0,104.0,813.0,22.0,29.7,12.8,10.38
Seattle Seahawks,294.0,4385.0,927.0,4.7,27.0,12.0,265.0,262.0,474.0,2617.0,18.0,15.0,5.1,142.0,417.0,1768.0,10.0,4.2,104.0,79.0,601.0,19.0,29.5,13.6,-51.6
Kansas City Chiefs,291.0,4939.0,957.0,5.2,24.0,8.0,273.0,310.0,541.0,3129.0,23.0,16.0,5.4,161.0,379.0,1810.0,9.0,4.8,94.0,78.0,645.0,18.0,27.0,12.4,-34.93
Detroit Lions,268.0,4292.0,913.0,4.7,29.0,10.0,234.0,281.0,509.0,2960.0,18.0,19.0,5.3,143.0,352.0,1332.0,10.0,3.8,70.0,88.0,729.0,21.0,26.2,15.0,-115.77
Washington Redskins,265.0,5120.0,1026.0,5.0,18.0,12.0,295.0,318.0,510.0,3025.0,14.0,6.0,5.5,165.0,478.0,2095.0,12.0,4.4,109.0,83.0,644.0,21.0,29.2,9.6,-23.62
Oakland Raiders,263.0,4356.0,919.0,4.7,23.0,12.0,225.0,222.0,421.0,2369.0,13.0,11.0,5.2,123.0,459.0,1987.0,9.0,4.3,87.0,109.0,823.0,15.0,24.6,11.8,-140.18
St. Louis Rams,232.0,4596.0,982.0,4.7,31.0,12.0,249.0,292.0,520.0,2947.0,11.0,19.0,5.2,140.0,417.0,1649.0,8.0,4.0,95.0,97.0,718.0,14.0,26.3,16.3,-174.37
Cleveland Browns,232.0,3985.0,921.0,4.3,26.0,6.0,233.0,238.0,488.0,2380.0,11.0,20.0,4.6,127.0,409.0,1605.0,6.0,3.9,84.0,100.0,669.0,22.0,27.3,14.5,-148.88
Cincinnati Bengals,204.0,3926.0,984.0,4.0,26.0,11.0,245.0,303.0,513.0,2406.0,11.0,15.0,4.3,145.0,420.0,1520.0,6.0,3.6,80.0,75.0,591.0,20.0,21.0,13.4,-156.24
Avg Team,352.5,5235.8,990.0,5.3,24.8,10.3,294.8,315.0,516.4,3380.5,20.2,14.5,6.2,172.9,441.2,1855.3,14.9,4.2,101.6,89.625,712.59375,20.3,34.121875,12.878125,2.982187500000002
