Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%
Minnesota Vikings,301.0,5084.0,969.0,5.2,26.0,10.0,300.0,284.0,477.0,2883.0,16.0,16.0,5.7,158.0,464.0,2201.0,18.0,4.7,125.0,88.0,675.0,17.0,0.0,0.0
Chicago Bears,299.0,5069.0,1025.0,4.9,33.0,16.0,317.0,286.0,497.0,3120.0,16.0,17.0,6.0,168.0,502.0,1949.0,18.0,3.9,120.0,80.0,662.0,29.0,0.0,0.0
Los Angeles Raiders,298.0,4425.0,893.0,5.0,31.0,13.0,248.0,220.0,414.0,2719.0,20.0,18.0,6.1,132.0,446.0,1706.0,8.0,3.8,97.0,117.0,1013.0,19.0,0.0,0.0
Cleveland Browns,293.0,4664.0,934.0,5.0,18.0,8.0,265.0,312.0,503.0,3304.0,19.0,10.0,6.1,163.0,389.0,1360.0,12.0,3.5,82.0,108.0,872.0,20.0,0.0,0.0
Pittsburgh Steelers,292.0,4581.0,915.0,5.0,30.0,14.0,254.0,259.0,476.0,2954.0,20.0,16.0,5.7,158.0,394.0,1627.0,8.0,4.1,82.0,116.0,933.0,14.0,0.0,0.0
Philadelphia Eagles,285.0,4302.0,1004.0,4.3,43.0,16.0,249.0,285.0,513.0,2906.0,17.0,27.0,5.2,142.0,446.0,1396.0,8.0,3.1,86.0,111.0,839.0,21.0,0.0,0.0
New York Giants,281.0,4908.0,951.0,5.2,23.0,15.0,280.0,261.0,428.0,2844.0,13.0,8.0,6.1,148.0,487.0,2064.0,16.0,4.2,120.0,92.0,719.0,12.0,0.0,0.0
Seattle Seahawks,276.0,4534.0,924.0,4.9,43.0,17.0,253.0,290.0,488.0,3108.0,15.0,26.0,5.9,159.0,394.0,1426.0,11.0,3.6,80.0,85.0,682.0,14.0,0.0,0.0
San Diego Chargers,274.0,4995.0,1010.0,4.9,28.0,12.0,285.0,272.0,511.0,2747.0,13.0,16.0,5.0,155.0,464.0,2248.0,16.0,4.8,114.0,96.0,799.0,16.0,0.0,0.0
Green Bay Packers,273.0,4332.0,940.0,4.6,36.0,17.0,259.0,272.0,514.0,2943.0,17.0,19.0,5.3,150.0,381.0,1389.0,12.0,3.6,88.0,98.0,834.0,21.0,0.0,0.0
Cincinnati Bengals,263.0,4969.0,993.0,5.0,42.0,20.0,286.0,290.0,511.0,3158.0,14.0,22.0,5.8,162.0,449.0,1811.0,11.0,4.0,96.0,107.0,845.0,28.0,0.0,0.0
Los Angeles Rams,234.0,4695.0,936.0,5.0,40.0,20.0,270.0,289.0,518.0,3410.0,13.0,20.0,6.2,180.0,388.0,1285.0,11.0,3.3,75.0,108.0,774.0,15.0,0.0,0.0
New England Patriots,211.0,4473.0,977.0,4.6,42.0,20.0,259.0,284.0,481.0,3006.0,11.0,22.0,5.5,155.0,433.0,1467.0,9.0,3.4,93.0,97.0,667.0,11.0,0.0,0.0
Tampa Bay Buccaneers,199.0,4001.0,922.0,4.3,47.0,18.0,249.0,250.0,495.0,2572.0,13.0,29.0,4.7,147.0,371.0,1429.0,9.0,3.9,79.0,88.0,780.0,23.0,0.0,0.0
Phoenix Cardinals,196.0,3962.0,926.0,4.3,39.0,14.0,237.0,254.0,492.0,2667.0,10.0,25.0,5.0,143.0,391.0,1295.0,6.0,3.3,73.0,78.0,661.0,21.0,0.0,0.0
Indianapolis Colts,143.0,3748.0,923.0,4.1,31.0,15.0,236.0,305.0,512.0,2579.0,10.0,16.0,4.5,163.0,354.0,1169.0,3.0,3.3,55.0,85.0,689.0,18.0,0.0,0.0
Avg Team,303.8,4908.6,972.2,5.0,32.2,14.8,284.1,285.8,498.2,3185.8,18.3,17.4,6.0,166.3,438.5,1722.8,12.8,3.9,98.5,96.57142857142857,775.0357142857143,19.3,0.0,0.0
