Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints
New York Jets,283.0,4951.0,936.0,5.3,20.0,6.0,274.0,312.0,496.0,3316.0,20.0,14.0,6.3,181.0,409.0,1635.0,8.0,4.0,78.0,69.0,550.0,15.0,32.4,11.8,-5.4
Chicago Bears,283.0,4380.0,1001.0,4.4,29.0,9.0,264.0,271.0,515.0,2617.0,12.0,20.0,4.7,143.0,443.0,1763.0,13.0,4.0,104.0,92.0,806.0,17.0,27.4,14.5,-109.04
Jacksonville Jaguars,276.0,5358.0,1024.0,5.2,31.0,14.0,305.0,303.0,515.0,3285.0,17.0,17.0,6.0,163.0,481.0,2073.0,13.0,4.3,118.0,108.0,895.0,24.0,27.3,15.8,-26.71
Detroit Lions,270.0,4262.0,975.0,4.4,28.0,4.0,250.0,319.0,588.0,2924.0,17.0,24.0,4.9,152.0,376.0,1338.0,5.0,3.6,69.0,107.0,859.0,29.0,23.2,13.7,-149.04
Oakland Raiders,270.0,4573.0,987.0,4.6,26.0,12.0,258.0,278.0,521.0,2751.0,9.0,14.0,4.9,140.0,423.0,1822.0,15.0,4.3,98.0,134.0,1120.0,20.0,24.3,12.2,-120.8
Houston Texans,255.0,4306.0,896.0,4.8,27.0,9.0,237.0,248.0,439.0,2655.0,14.0,18.0,5.6,127.0,421.0,1651.0,14.0,3.9,86.0,121.0,961.0,24.0,24.5,13.8,-108.85
Cleveland Browns,254.0,4504.0,961.0,4.7,33.0,15.0,276.0,313.0,509.0,2834.0,17.0,18.0,5.2,153.0,412.0,1670.0,8.0,4.1,91.0,98.0,767.0,32.0,26.7,17.2,-98.56
Buffalo Bills,243.0,4348.0,980.0,4.4,34.0,17.0,268.0,293.0,502.0,2684.0,11.0,17.0,4.9,150.0,427.0,1664.0,13.0,3.9,96.0,106.0,891.0,22.0,21.9,17.6,-134.59
New York Giants,243.0,4942.0,1047.0,4.7,38.0,18.0,300.0,344.0,616.0,3383.0,16.0,20.0,5.1,184.0,387.0,1559.0,6.0,4.0,90.0,127.0,1090.0,26.0,21.4,18.4,-139.3
Arizona Cardinals,225.0,4490.0,981.0,4.6,36.0,14.0,256.0,303.0,534.0,2959.0,18.0,22.0,5.1,147.0,403.0,1531.0,5.0,3.8,80.0,98.0,761.0,29.0,22.2,18.4,-157.56
Avg Team,333.3,5092.8,1002.9,5.1,28.5,11.7,292.7,303.0,515.4,3207.1,20.4,16.8,5.8,165.8,453.4,1885.7,13.3,4.2,101.6,105.5625,875.8125,25.3,30.4125,13.95,-35.0128125
