Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints
Chicago Bears,338.0,4694.0,1020.0,4.6,24.0,8.0,277.0,315.0,528.0,2952.0,20.0,16.0,5.4,153.0,475.0,1742.0,12.0,3.7,100.0,63.0,622.0,24.0,29.7,11.3,-81.15
Tennessee Titans,336.0,5352.0,1026.0,5.2,28.0,11.0,288.0,307.0,515.0,3558.0,23.0,17.0,6.4,179.0,468.0,1794.0,12.0,3.8,87.0,119.0,1025.0,22.0,28.2,13.3,-24.28
New Orleans Saints,333.0,5226.0,1031.0,5.1,35.0,13.0,294.0,313.0,562.0,3514.0,27.0,22.0,5.7,184.0,419.0,1712.0,8.0,4.1,87.0,119.0,1025.0,23.0,31.6,16.8,-68.88
San Diego Chargers,332.0,5200.0,1010.0,5.1,29.0,11.0,290.0,309.0,548.0,3505.0,16.0,18.0,6.1,177.0,435.0,1695.0,13.0,3.9,92.0,97.0,777.0,21.0,30.4,14.4,-42.28
Tampa Bay Buccaneers,324.0,4694.0,1046.0,4.5,22.0,10.0,298.0,362.0,592.0,3323.0,13.0,12.0,5.2,189.0,407.0,1371.0,17.0,3.4,84.0,77.0,672.0,25.0,31.5,10.3,-33.5
Kansas City Chiefs,320.0,5673.0,1015.0,5.6,33.0,9.0,324.0,300.0,528.0,3665.0,17.0,24.0,6.5,178.0,448.0,2008.0,16.0,4.5,119.0,68.0,602.0,27.0,31.6,16.3,5.29
New York Jets,308.0,4795.0,928.0,5.2,21.0,7.0,274.0,272.0,464.0,2741.0,17.0,14.0,5.7,151.0,445.0,2054.0,11.0,4.6,105.0,62.0,507.0,18.0,29.5,10.8,-14.32
Baltimore Ravens,303.0,5124.0,1080.0,4.7,36.0,16.0,299.0,320.0,557.0,3314.0,18.0,20.0,5.6,180.0,483.0,1810.0,11.0,3.7,92.0,89.0,728.0,27.0,29.2,16.3,-132.23
Seattle Seahawks,301.0,4772.0,980.0,4.9,21.0,9.0,274.0,258.0,462.0,2836.0,15.0,12.0,5.5,141.0,469.0,1936.0,15.0,4.1,107.0,66.0,579.0,26.0,26.7,10.2,-21.76
Arizona Cardinals,295.0,4898.0,955.0,5.1,27.0,13.0,277.0,304.0,526.0,3449.0,18.0,14.0,6.2,177.0,400.0,1449.0,10.0,3.6,77.0,72.0,620.0,23.0,27.2,13.3,-56.34
New York Giants,294.0,5335.0,1028.0,5.2,29.0,13.0,295.0,327.0,568.0,3558.0,19.0,16.0,5.9,189.0,424.0,1777.0,11.0,4.2,93.0,97.0,905.0,13.0,27.0,12.8,-46.04
Jacksonville Jaguars,294.0,4840.0,969.0,5.0,27.0,13.0,289.0,321.0,534.0,3240.0,20.0,14.0,5.4,181.0,372.0,1600.0,11.0,4.3,85.0,97.0,710.0,23.0,25.5,13.0,-72.04
Atlanta Falcons,291.0,5070.0,988.0,5.1,28.0,11.0,280.0,278.0,485.0,3308.0,19.0,17.0,6.0,165.0,439.0,1762.0,9.0,4.0,85.0,90.0,754.0,30.0,30.3,14.4,-52.48
Minnesota Vikings,290.0,5185.0,978.0,5.3,39.0,16.0,288.0,335.0,555.0,3576.0,23.0,23.0,5.9,179.0,376.0,1609.0,10.0,4.3,88.0,109.0,836.0,21.0,26.4,20.3,-33.93
Cleveland Browns,285.0,4152.0,934.0,4.4,33.0,12.0,238.0,279.0,466.0,2801.0,18.0,21.0,5.4,139.0,417.0,1351.0,8.0,3.2,78.0,94.0,825.0,21.0,24.5,15.3,-138.76
Detroit Lions,270.0,4994.0,1026.0,4.9,38.0,14.0,289.0,343.0,609.0,3596.0,18.0,24.0,5.3,184.0,351.0,1398.0,8.0,4.0,74.0,116.0,1081.0,31.0,25.0,19.7,-96.62
Buffalo Bills,265.0,5137.0,1009.0,5.1,33.0,13.0,287.0,327.0,557.0,3451.0,18.0,20.0,5.7,180.0,406.0,1686.0,9.0,4.2,75.0,123.0,954.0,32.0,24.5,16.8,-74.07
Washington Redskins,256.0,4435.0,960.0,4.6,28.0,15.0,241.0,235.0,432.0,2487.0,13.0,13.0,5.3,122.0,490.0,1948.0,10.0,4.0,104.0,104.0,828.0,15.0,25.5,12.0,-120.99
Carolina Panthers,253.0,4254.0,965.0,4.4,35.0,13.0,236.0,314.0,579.0,2882.0,12.0,22.0,4.7,144.0,354.0,1372.0,9.0,3.9,68.0,87.0,747.0,24.0,22.4,15.9,-216.67
Dallas Cowboys,246.0,4402.0,952.0,4.6,34.0,14.0,247.0,210.0,413.0,2218.0,14.0,20.0,5.0,110.0,505.0,2184.0,8.0,4.3,114.0,91.0,744.0,23.0,23.4,16.0,-135.91
Cincinnati Bengals,226.0,4800.0,1071.0,4.5,37.0,11.0,294.0,322.0,602.0,3088.0,12.0,26.0,4.9,176.0,441.0,1712.0,11.0,3.9,96.0,103.0,870.0,22.0,20.5,17.4,-140.42
Avg Team,323.4,5081.3,1001.4,5.1,29.9,12.4,288.2,307.8,522.0,3292.9,20.5,17.6,5.9,170.1,440.8,1788.4,11.8,4.1,95.5,92.74193548387096,784.6774193548387,22.6,29.506451612903223,14.46451612903226,-45.18838709677421
