Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints
Denver Broncos,320.0,5541.0,976.0,5.7,29.0,14.0,305.0,326.0,515.0,3584.0,21.0,15.0,6.6,187.0,429.0,1957.0,10.0,4.6,96.0,90.0,610.0,22.0,32.8,14.7,2.8
Tennessee Titans,301.0,4987.0,1037.0,4.8,34.0,17.0,306.0,288.0,464.0,2878.0,9.0,17.0,5.8,171.0,543.0,2109.0,17.0,3.9,118.0,101.0,773.0,17.0,32.3,16.9,-61.98
Oakland Raiders,283.0,4717.0,1000.0,4.7,37.0,17.0,267.0,260.0,451.0,2631.0,17.0,20.0,5.3,133.0,508.0,2086.0,11.0,4.1,111.0,120.0,864.0,23.0,26.7,17.3,-101.9
Baltimore Ravens,275.0,4832.0,1042.0,4.6,40.0,26.0,291.0,341.0,557.0,3035.0,13.0,14.0,5.1,175.0,446.0,1797.0,11.0,4.0,96.0,107.0,873.0,20.0,27.4,18.3,-105.93
New York Jets,268.0,4715.0,1011.0,4.7,25.0,6.0,286.0,310.0,512.0,3014.0,15.0,19.0,5.3,173.0,446.0,1701.0,6.0,3.8,92.0,63.0,486.0,21.0,29.2,14.0,-69.54
Miami Dolphins,267.0,4600.0,989.0,4.7,29.0,13.0,283.0,318.0,558.0,3031.0,12.0,16.0,5.1,162.0,389.0,1569.0,14.0,4.0,107.0,91.0,732.0,14.0,26.9,16.0,-69.8
Carolina Panthers,267.0,4559.0,989.0,4.6,29.0,12.0,255.0,285.0,505.0,2735.0,19.0,17.0,5.1,142.0,451.0,1824.0,7.0,4.0,85.0,95.0,801.0,28.0,26.5,13.8,-87.11
St. Louis Rams,263.0,4760.0,1026.0,4.6,37.0,9.0,281.0,333.0,574.0,3233.0,19.0,28.0,5.2,193.0,404.0,1527.0,5.0,3.8,65.0,94.0,794.0,23.0,24.9,18.7,-129.19
Atlanta Falcons,259.0,4813.0,987.0,4.9,24.0,9.0,248.0,336.0,555.0,3293.0,18.0,15.0,5.5,161.0,385.0,1520.0,7.0,3.9,73.0,105.0,891.0,14.0,26.3,12.4,-123.5
Buffalo Bills,252.0,4434.0,919.0,4.8,21.0,7.0,248.0,263.0,445.0,2634.0,12.0,14.0,5.6,141.0,448.0,1800.0,8.0,4.0,91.0,78.0,633.0,16.0,24.9,11.9,-83.72
Kansas City Chiefs,226.0,4429.0,1001.0,4.4,33.0,13.0,255.0,335.0,563.0,3181.0,17.0,20.0,5.1,171.0,383.0,1248.0,6.0,3.3,66.0,101.0,697.0,18.0,21.6,15.5,-138.48
San Francisco 49ers,219.0,3797.0,925.0,4.1,34.0,17.0,218.0,274.0,513.0,2320.0,15.0,17.0,4.1,140.0,357.0,1477.0,8.0,4.1,65.0,97.0,702.0,13.0,19.7,15.8,-234.94
Avg Team,347.0,5203.5,1004.2,5.2,28.7,12.0,297.8,325.8,532.7,3428.8,22.5,16.7,6.0,181.7,437.1,1774.7,12.1,4.1,95.6,91.625,720.0625,20.5,32.318749999999994,14.506249999999998,-13.353750000000002
