Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%
Oakland Raiders,340.0,5252.0,1034.0,5.1,31.0,12.0,306.0,311.0,533.0,3078.0,28.0,19.0,5.3,172.0,456.0,2174.0,7.0,4.8,98.0,156.0,1266.0,36.0,0.0,0.0
Miami Dolphins,339.0,5165.0,1000.0,5.2,24.0,13.0,294.0,300.0,504.0,3543.0,22.0,11.0,6.6,173.0,460.0,1622.0,14.0,3.5,92.0,111.0,852.0,29.0,0.0,0.0
Jacksonville Jaguars,325.0,5760.0,1038.0,5.5,30.0,10.0,325.0,353.0,557.0,4110.0,19.0,20.0,6.8,208.0,431.0,1650.0,13.0,3.8,90.0,127.0,1006.0,27.0,0.0,0.0
Buffalo Bills,319.0,5119.0,1094.0,4.7,37.0,13.0,294.0,279.0,483.0,3218.0,18.0,24.0,6.1,149.0,563.0,1901.0,14.0,3.4,128.0,106.0,831.0,17.0,0.0,0.0
Indianapolis Colts,317.0,4744.0,1000.0,4.7,24.0,13.0,288.0,311.0,537.0,3296.0,16.0,11.0,5.7,172.0,420.0,1448.0,9.0,3.4,89.0,76.0,615.0,27.0,0.0,0.0
Seattle Seahawks,317.0,5024.0,974.0,5.2,29.0,12.0,268.0,261.0,494.0,3027.0,14.0,17.0,5.7,147.0,442.0,1997.0,16.0,4.5,94.0,112.0,879.0,27.0,0.0,0.0
San Diego Chargers,310.0,4670.0,1022.0,4.6,32.0,11.0,272.0,314.0,577.0,3358.0,23.0,21.0,5.5,168.0,412.0,1312.0,7.0,3.2,80.0,110.0,969.0,24.0,0.0,0.0
Atlanta Falcons,309.0,5116.0,971.0,5.3,41.0,11.0,292.0,356.0,600.0,3655.0,26.0,30.0,5.7,202.0,329.0,1461.0,9.0,4.4,67.0,111.0,961.0,23.0,0.0,0.0
St. Louis Rams,303.0,4372.0,986.0,4.4,44.0,21.0,255.0,249.0,481.0,2765.0,18.0,23.0,5.1,141.0,448.0,1607.0,10.0,3.6,93.0,133.0,1015.0,21.0,0.0,0.0
Detroit Lions,302.0,5013.0,976.0,5.1,26.0,5.0,317.0,309.0,541.0,3203.0,20.0,21.0,5.5,180.0,389.0,1810.0,15.0,4.7,105.0,108.0,863.0,32.0,0.0,0.0
Arizona Cardinals,300.0,5190.0,1050.0,4.9,35.0,14.0,308.0,336.0,613.0,3688.0,23.0,21.0,5.7,214.0,401.0,1502.0,8.0,3.7,70.0,106.0,873.0,24.0,0.0,0.0
Minnesota Vikings,298.0,5204.0,1030.0,5.1,32.0,13.0,284.0,331.0,561.0,3658.0,24.0,19.0,6.1,186.0,435.0,1546.0,7.0,3.6,75.0,106.0,835.0,23.0,0.0,0.0
Kansas City Chiefs,297.0,4899.0,1045.0,4.7,24.0,10.0,312.0,290.0,530.0,2890.0,18.0,14.0,5.2,168.0,488.0,2009.0,15.0,4.1,111.0,122.0,901.0,33.0,0.0,0.0
Dallas Cowboys,286.0,4763.0,981.0,4.9,29.0,15.0,286.0,307.0,487.0,3122.0,12.0,14.0,6.2,163.0,475.0,1641.0,14.0,3.5,105.0,103.0,832.0,18.0,0.0,0.0
Chicago Bears,283.0,4905.0,1046.0,4.7,27.0,9.0,300.0,318.0,551.0,3185.0,19.0,18.0,5.5,176.0,472.0,1720.0,9.0,3.6,104.0,103.0,808.0,20.0,0.0,0.0
New York Jets,279.0,5208.0,1077.0,4.8,46.0,16.0,319.0,339.0,629.0,3625.0,22.0,30.0,5.4,191.0,407.0,1583.0,8.0,3.9,94.0,110.0,819.0,34.0,0.0,0.0
New York Giants,242.0,3942.0,1000.0,3.9,34.0,13.0,248.0,238.0,459.0,2339.0,14.0,21.0,4.5,145.0,485.0,1603.0,4.0,3.3,82.0,85.0,666.0,21.0,0.0,0.0
New Orleans Saints,229.0,4206.0,923.0,4.6,37.0,20.0,232.0,295.0,515.0,2898.0,13.0,17.0,5.4,135.0,386.0,1308.0,10.0,3.4,77.0,114.0,853.0,20.0,0.0,0.0
Tampa Bay Buccaneers,221.0,4316.0,996.0,4.3,34.0,14.0,260.0,274.0,494.0,2727.0,12.0,20.0,5.2,152.0,472.0,1589.0,8.0,3.4,90.0,95.0,787.0,18.0,0.0,0.0
Avg Team,326.8,5062.4,1022.2,5.0,30.6,12.6,298.6,306.6,532.2,3318.9,20.9,18.1,5.8,174.8,453.1,1743.5,12.1,3.8,99.4,105.83333333333333,841.6333333333333,24.4,0.0,0.0
